NP_000012.1	NP_000012.1; XP_016857324.1	467; 448	Pfam	PF01080; PF01080	Presenilin; Presenilin	4.9E-166; 1.3E-107	IPR001108; IPR001108	Peptidase A22A, presenilin; Peptidase A22A, presenilin
NP_036283.2	NP_001007525.1; NP_001007524.1; NP_036283.2	371; 371; 371	Pfam	PF14938; PF14938; PF14938	Soluble NSF attachment protein, SNAP; Soluble NSF attachment protein, SNAP; Soluble NSF attachment protein, SNAP	1.0E-5; 1.0E-5; 1.0E-5	-; -; -	-; -; -
NP_036332.2	NP_036332.2; XP_016873040.1; NP_542780.1	335; 347; 323	Pfam	PF03360; PF03360; PF03360	Glycosyltransferase family 43; Glycosyltransferase family 43; Glycosyltransferase family 43	3.8E-67; 5.0E-74; 1.5E-69	IPR005027; IPR005027; IPR005027	Glycosyl transferase, family 43; Glycosyl transferase, family 43; Glycosyl transferase, family 43
NP_036346.1	NP_036346.1; XP_024310115.1	535; 565	Pfam	PF04666; PF04666	N-Acetylglucosaminyltransferase-IV (GnT-IV) conserved region; N-Acetylglucosaminyltransferase-IV (GnT-IV) conserved region	2.9E-136; 6.3E-135	-; -	-; -
NP_036369.2	NP_036369.2; NP_001357239.1	389; 417	Pfam	PF02146; PF02146	Sir2 family; Sir2 family	3.0E-58; 7.8E-57	IPR003000; IPR003000	Sirtuin family; Sirtuin family
NP_036380.2	NP_036380.2; XP_016871432.1	448; 392	Pfam	PF00586, PF02769; PF02769, PF00586	AIR synthase related protein, N-terminal domain, AIR synthase related protein, C-terminal domain; AIR synthase related protein, C-terminal domain, AIR synthase related protein, N-terminal domain	9.2E-10, 3.5E-28; 3.8E-31, 1.6E-10	IPR016188, IPR010918; IPR010918, IPR016188	PurM-like, N-terminal domain, PurM-like, C-terminal domain; PurM-like, C-terminal domain, PurM-like, N-terminal domain
NP_036385.3	NP_036385.3; NP_115512.3; NP_001244957.1	596; 626; 631	Pfam	PF02780, PF00456, PF02779; PF02780, PF00456, PF02779; PF02779, PF00456, PF02780	Transketolase, C-terminal domain, Transketolase, thiamine diphosphate binding domain, Transketolase, pyrimidine binding domain; Transketolase, C-terminal domain, Transketolase, thiamine diphosphate binding domain, Transketolase, pyrimidine binding domain; Transketolase, pyrimidine binding domain, Transketolase, thiamine diphosphate binding domain, Transketolase, C-terminal domain	3.8E-31, 1.7E-20, 3.6E-37; 9.3E-32, 2.6E-42, 1.6E-38; 1.7E-41, 2.0E-45, 5.1E-31	IPR033248, IPR005474, IPR005475; IPR033248, IPR005474, IPR005475; IPR005475, IPR005474, IPR033248	Transketolase, C-terminal domain, Transketolase, N-terminal, Transketolase-like, pyrimidine-binding domain; Transketolase, C-terminal domain, Transketolase, N-terminal, Transketolase-like, pyrimidine-binding domain; Transketolase-like, pyrimidine-binding domain, Transketolase, N-terminal, Transketolase, C-terminal domain
NP_036391.1	NP_036391.1; NP_001035798.1; NP_055386.2	337; 308; 328	Pfam	PF07527, PF00010; PF07527, PF00010; PF07527, PF00010	Hairy Orange, Helix-loop-helix DNA-binding domain; Hairy Orange, Helix-loop-helix DNA-binding domain; Hairy Orange, Helix-loop-helix DNA-binding domain	1.1E-13, 2.3E-17; 3.9E-11, 2.0E-16; 1.4E-9, 1.1E-16	IPR003650, IPR011598; IPR003650, IPR011598; IPR003650, IPR011598	Orange domain, Myc-type, basic helix-loop-helix (bHLH) domain; Orange domain, Myc-type, basic helix-loop-helix (bHLH) domain; Orange domain, Myc-type, basic helix-loop-helix (bHLH) domain
NP_036413.1	NP_036413.1; XP_016856733.1; XP_024308146.1	630; 655; 675	Pfam	PF02214, PF00520, PF11601, PF11879; PF00520, PF02214, PF11601, PF11879; PF00520, PF11879, PF02214, PF11601	BTB/POZ domain, Ion transport protein, Shal-type voltage-gated potassium channels, N-terminal, Domain of unknown function (DUF3399); Ion transport protein, BTB/POZ domain, Shal-type voltage-gated potassium channels, N-terminal, Domain of unknown function (DUF3399); Ion transport protein, Domain of unknown function (DUF3399), BTB/POZ domain, Shal-type voltage-gated potassium channels, N-terminal	5.5E-28, 1.3E-42, 5.4E-13, 2.1E-41; 4.6E-43, 1.9E-28, 3.5E-14, 1.3E-43; 5.8E-44, 1.9E-35, 1.2E-29, 1.4E-12	IPR003131, IPR005821, IPR021645, IPR024587; IPR005821, IPR003131, IPR021645, IPR024587; IPR005821, IPR024587, IPR003131, IPR021645	Potassium channel tetramerisation-type BTB domain, Ion transport domain, Shal-type voltage-gated potassium channels, N-terminal, Potassium channel, voltage dependent, Kv4, C-terminal; Ion transport domain, Potassium channel tetramerisation-type BTB domain, Shal-type voltage-gated potassium channels, N-terminal, Potassium channel, voltage dependent, Kv4, C-terminal; Ion transport domain, Potassium channel, voltage dependent, Kv4, C-terminal, Potassium channel tetramerisation-type BTB domain, Shal-type voltage-gated potassium channels, N-terminal
NP_036420.1	NP_036420.1; NP_055109.1; NP_689615.2	370; 374; 369	Pfam	PF03798, PF08390; PF08390, PF03798; PF03798, PF08390	TLC domain, TRAM1-like protein; TRAM1-like protein, TLC domain; TLC domain, TRAM1-like protein	1.1E-25, 1.5E-19; 2.5E-22, 1.1E-26; 5.3E-22, 1.3E-20	IPR006634, IPR013599; IPR013599, IPR006634; IPR006634, IPR013599	TRAM/LAG1/CLN8 homology domain, TRAM1-like protein; TRAM1-like protein, TRAM/LAG1/CLN8 homology domain; TRAM/LAG1/CLN8 homology domain, TRAM1-like protein
NP_036422.3	NP_036422.3; XP_024306320.1	766; 779	Pfam	PF00069; PF00069	Protein kinase domain; Protein kinase domain	1.3E-61; 2.0E-62	IPR000719; IPR000719	Protein kinase domain; Protein kinase domain
NP_036442.3	NP_036442.3; NP_001092763.1	1232; 1234	Pfam	PF00225; PF00225	Kinesin motor domain; Kinesin motor domain	3.3E-115; 3.0E-115	IPR001752; IPR001752	Kinesin motor domain; Kinesin motor domain
NP_036447.1	NP_036447.1; XP_011524671.1	250; 307	Pfam	PF00089; PF00089	Trypsin; Trypsin	1.7E-63; 6.9E-67	IPR001254; IPR001254	Serine proteases, trypsin domain; Serine proteases, trypsin domain
NP_036449.1	NP_036449.1; NP_001071641.1; NP_001071640.1; NP_001071639.1	146; 113; 113; 113	Pfam	PF16297; PF16297; PF16297; PF16297	Domain of unknown function (DUF4939); Domain of unknown function (DUF4939); Domain of unknown function (DUF4939); Domain of unknown function (DUF4939)	7.5E-55; 7.2E-59; 5.1E-59; 6.0E-60	IPR032549; IPR032549; IPR032549; IPR032549	Domain of unknown function DUF4939; Domain of unknown function DUF4939; Domain of unknown function DUF4939; Domain of unknown function DUF4939
NP_036457.1	NP_036457.1; NP_036458.2; NP_055083.1	268; 281; 327	Pfam	PF03271, PF00307; PF00307, PF03271; PF00307, PF03271	EB1-like C-terminal motif, Calponin homology (CH) domain; Calponin homology (CH) domain, EB1-like C-terminal motif; Calponin homology (CH) domain, EB1-like C-terminal motif	1.4E-17, 8.6E-15; 5.0E-16, 9.0E-18; 5.2E-13, 1.1E-16	IPR004953, IPR001715; IPR001715, IPR004953; IPR001715, IPR004953	EB1, C-terminal, Calponin homology domain; Calponin homology domain, EB1, C-terminal; Calponin homology domain, EB1, C-terminal
NP_036462.2	NP_036462.2; XP_011542958.1	2073; 2048	Pfam	PF00628, PF01853, PF17772; PF01853, PF00628, PF17772	PHD-finger, MOZ/SAS family, MYST family zinc finger domain; MOZ/SAS family, PHD-finger, MYST family zinc finger domain	5.4E-11, 5.3E-83, 6.6E-22; 7.2E-83, 7.2E-11, 6.9E-23	IPR019787, IPR002717, IPR040706; IPR002717, IPR019787, IPR040706	Zinc finger, PHD-finger, Histone acetyltransferase domain, MYST-type, MYST, zinc finger domain; Histone acetyltransferase domain, MYST-type, Zinc finger, PHD-finger, MYST, zinc finger domain
NP_036507.2	NP_036507.2; NP_001005160.1; NP_001005177.3; XP_016873200.1; NP_001005164.2; NP_001005168.2; NP_001004137.1; NP_001001916.2; NP_001005165.1; NP_001005166.3; NP_001372591.1; NP_001005163.1; NP_001005173.3; NP_001005289.2; NP_001005171.2; NP_001005172.2; NP_001005174.1; NP_001001913.1; NP_001005167.1; NP_001004052.1; NP_001005162.2; NP_001005161.2; NP_689643.2; NP_001005238.1; NP_110401.1; NP_001004753.2; NP_001005178.1; NP_001005237.1; NP_001382980.1; NP_001004755.1; NP_001004749.1; NP_001004751.1; NP_001004754.1; NP_001005329.1; NP_001382181.1; NP_001005288.1; NP_001004748.1; NP_001004750.1; NP_001004760.3; NP_001004757.1; NP_149420.4; NP_001004752.2; NP_001004756.2; NP_001004759.2; NP_149419.2	312; 316; 315; 321; 325; 313; 317; 311; 312; 327; 324; 318; 329; 314; 314; 314; 321; 320; 313; 323; 335; 314; 318; 314; 320; 330; 320; 321; 312; 315; 312; 324; 312; 313; 312; 314; 313; 312; 315; 317; 312; 319; 326; 327; 310	Pfam	PF13853; PF13853; PF13853; PF13853; PF13853; PF13853; PF13853; PF13853; PF13853; PF13853; PF13853; PF13853; PF13853; PF13853; PF13853; PF13853; PF13853; PF13853; PF13853; PF13853; PF13853; PF13853; PF13853; PF13853; PF13853; PF13853; PF13853; PF13853; PF13853; PF13853; PF13853; PF13853; PF13853; PF13853; PF13853; PF13853; PF13853; PF13853; PF13853; PF13853; PF13853; PF13853; PF13853; PF13853; PF13853	Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor	3.4E-96; 1.4E-103; 7.1E-105; 2.2E-105; 2.5E-131; 1.3E-116; 3.8E-107; 4.7E-108; 5.2E-123; 2.0E-109; 1.7E-97; 8.2E-109; 1.2E-102; 1.8E-105; 4.5E-112; 2.3E-111; 3.6E-100; 3.2E-96; 7.2E-108; 2.9E-109; 8.2E-98; 7.2E-98; 5.9E-114; 1.1E-144; 1.9E-109; 7.5E-113; 4.5E-87; 1.1E-122; 6.9E-106; 4.9E-117; 3.7E-111; 1.4E-105; 2.6E-120; 1.1E-114; 9.6E-106; 5.6E-114; 1.7E-110; 8.8E-103; 4.3E-106; 8.2E-104; 1.6E-99; 3.7E-100; 4.2E-108; 2.3E-97; 9.3E-95	IPR000725; IPR000725; IPR000725; IPR000725; IPR000725; IPR000725; IPR000725; IPR000725; IPR000725; IPR000725; IPR000725; IPR000725; IPR000725; IPR000725; IPR000725; IPR000725; IPR000725; IPR000725; IPR000725; IPR000725; IPR000725; IPR000725; IPR000725; IPR000725; IPR000725; IPR000725; IPR000725; IPR000725; IPR000725; IPR000725; IPR000725; IPR000725; IPR000725; IPR000725; IPR000725; IPR000725; IPR000725; IPR000725; IPR000725; IPR000725; IPR000725; IPR000725; IPR000725; IPR000725; IPR000725	Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor
NP_036532.1	NP_036532.1; XP_011540257.1	145; 219	Pfam	PF00068; PF00068	Phospholipase A2; Phospholipase A2	1.1E-34; 3.4E-25	IPR016090; IPR016090	Phospholipase A2 domain; Phospholipase A2 domain
NP_036545.1	NP_036545.1; NP_060129.2	361; 382	Pfam	PF04389; PF04389	Peptidase family M28; Peptidase family M28	5.2E-48; 6.5E-47	IPR007484; IPR007484	Peptidase M28; Peptidase M28
NP_036551.3	NP_036551.3; XP_011526786.1	210; 246	Pfam	PF00615; PF00615	Regulator of G protein signaling domain; Regulator of G protein signaling domain	1.2E-35; 8.6E-35	IPR016137; IPR016137	RGS domain; RGS domain
NP_036561.1	NP_036561.1; XP_011528430.1; XP_016884276.1; XP_016884420.1	403; 412; 465; 432	Pfam	PF00650; PF00650; PF00650; PF00650	CRAL/TRIO domain; CRAL/TRIO domain; CRAL/TRIO domain; CRAL/TRIO domain	1.9E-41; 1.1E-37; 2.1E-40; 3.8E-32	IPR001251; IPR001251; IPR001251; IPR001251	CRAL-TRIO lipid binding domain; CRAL-TRIO lipid binding domain; CRAL-TRIO lipid binding domain; CRAL-TRIO lipid binding domain
NP_036563.1	NP_036563.1; XP_024309410.1	775; 800	Pfam	PF01403, PF00047; PF01403, PF00047	Sema domain, Immunoglobulin domain; Sema domain, Immunoglobulin domain	1.3E-144, 8.0E-9; 7.0E-132, 2.6E-7	IPR001627, IPR013151; IPR001627, IPR013151	Sema domain, Immunoglobulin; Sema domain, Immunoglobulin
NP_036581.1	NP_036581.1; NP_001157932.1	339; 342	Pfam	PF01794; PF01794	Ferric reductase like transmembrane component; Ferric reductase like transmembrane component	2.9E-14; 1.3E-13	IPR013130; IPR013130	Ferric reductase transmembrane component-like domain; Ferric reductase transmembrane component-like domain
NP_036595.2	NP_036595.2; XP_005250450.1; XP_024304088.1; NP_001365459.1	856; 840; 861; 903	Pfam	PF01496; PF01496; PF01496; PF01496	V-type ATPase 116kDa subunit family; V-type ATPase 116kDa subunit family; V-type ATPase 116kDa subunit family; V-type ATPase 116kDa subunit family	0.0; 0.0; 1.0E-129; 0.0	IPR002490; IPR002490; IPR002490; IPR002490	V-type  ATPase, V0 complex, 116kDa subunit family; V-type  ATPase, V0 complex, 116kDa subunit family; V-type  ATPase, V0 complex, 116kDa subunit family; V-type  ATPase, V0 complex, 116kDa subunit family
NP_036606.2	NP_036606.2; XP_005272281.1	261; 291	Pfam	PF00485; PF00485	Phosphoribulokinase / Uridine kinase family; Phosphoribulokinase / Uridine kinase family	4.7E-53; 7.1E-46	IPR006083; IPR006083	Phosphoribulokinase/uridine kinase; Phosphoribulokinase/uridine kinase
NP_036609.1	NP_036609.1; NP_001077382.1	269; 363	Pfam	PF11669; PF11669	WW domain-binding protein 1; WW domain-binding protein 1	1.1E-42; 3.1E-44	IPR021684; IPR021684	WW domain-binding protein 1-like; WW domain-binding protein 1-like
NP_037365.2	NP_037365.2; XP_011532633.1	545; 580	Pfam	PF00069, PF12202; PF12202, PF00069	Protein kinase domain, Oxidative-stress-responsive kinase 1 C-terminal domain; Oxidative-stress-responsive kinase 1 C-terminal domain, Protein kinase domain	8.1E-63, 1.0E-22; 5.0E-22, 3.0E-61	IPR000719, IPR024678; IPR024678, IPR000719	Protein kinase domain, Serine/threonine-protein kinase OSR1/WNK, CCT domain; Serine/threonine-protein kinase OSR1/WNK, CCT domain, Protein kinase domain
NP_037380.1	NP_037380.1; NP_061168.2	140; 197	Pfam	PF02136; PF02136	Nuclear transport factor 2 (NTF2) domain; Nuclear transport factor 2 (NTF2) domain	4.1E-30; 5.4E-31	IPR002075; IPR002075	Nuclear transport factor 2; Nuclear transport factor 2
NP_037399.2	NP_037399.2; NP_055720.3	602; 669	Pfam	PF12796, PF04960, PF17959; PF12796, PF17959, PF04960	Ankyrin repeats (3 copies), Glutaminase, EF-hand domain; Ankyrin repeats (3 copies), EF-hand domain, Glutaminase	4.1E-12, 3.7E-113, 1.7E-22; 1.1E-10, 2.9E-23, 5.7E-119	IPR020683, IPR015868, IPR041541; IPR020683, IPR041541, IPR015868	Ankyrin repeat-containing domain, Glutaminase, Glutaminase, EF-hand domain; Ankyrin repeat-containing domain, Glutaminase, EF-hand domain, Glutaminase
NP_037414.3	NP_037414.3; NP_690856.1	806; 802	Pfam	PF02182, PF00240, PF12148, PF00628; PF00628, PF00240, PF12148, PF02182	SAD/SRA domain, Ubiquitin family, Tandem tudor domain within UHRF1, PHD-finger; PHD-finger, Ubiquitin family, Tandem tudor domain within UHRF1, SAD/SRA domain	2.5E-57, 8.4E-17, 8.0E-69, 7.5E-12; 4.1E-12, 1.5E-14, 3.3E-64, 4.8E-51	IPR003105, IPR000626, IPR021991, IPR019787; IPR019787, IPR000626, IPR021991, IPR003105	SRA-YDG, Ubiquitin-like domain, UHRF1, tandem tudor domain, Zinc finger, PHD-finger; Zinc finger, PHD-finger, Ubiquitin-like domain, UHRF1, tandem tudor domain, SRA-YDG
NP_037444.2	NP_037444.2; NP_115786.1; NP_056972.1	719; 718; 728	Pfam	PF19047, PF05622; PF19047, PF05622; PF05622, PF19047	HOOK domain, HOOK protein coiled-coil region; HOOK domain, HOOK protein coiled-coil region; HOOK protein coiled-coil region, HOOK domain	1.6E-73, 3.8E-202; 8.3E-79, 5.1E-230; 1.1E-226, 6.8E-76	IPR043936, IPR008636; IPR043936, IPR008636; IPR008636, IPR043936	HOOK, N-terminal, Hook, C-terminal; HOOK, N-terminal, Hook, C-terminal; Hook, C-terminal, HOOK, N-terminal
NP_037445.1	NP_037445.1; XP_016880110.1; NP_113665.3; NP_001350416.1	119; 119; 157; 127	Pfam	PF03226; PF03226; PF03226; PF03226	Yippee zinc-binding/DNA-binding /Mis18, centromere assembly; Yippee zinc-binding/DNA-binding /Mis18, centromere assembly; Yippee zinc-binding/DNA-binding /Mis18, centromere assembly; Yippee zinc-binding/DNA-binding /Mis18, centromere assembly	6.6E-13; 1.3E-12; 1.1E-12; 2.0E-13	IPR004910; IPR004910; IPR004910; IPR004910	Yippee/Mis18/Cereblon; Yippee/Mis18/Cereblon; Yippee/Mis18/Cereblon; Yippee/Mis18/Cereblon
NP_037455.2	NP_037455.2; XP_016867575.1	270; 227	Pfam	PF00787; PF00787	PX domain; PX domain	2.2E-22; 1.0E-19	IPR001683; IPR001683	Phox homology; Phox homology
NP_037460.2	NP_037460.2; NP_001269210.1	320; 346	Pfam	PF03807, PF14748; PF14748, PF03807	NADP oxidoreductase coenzyme F420-dependent, Pyrroline-5-carboxylate reductase dimerisation; Pyrroline-5-carboxylate reductase dimerisation, NADP oxidoreductase coenzyme F420-dependent	4.1E-20, 1.0E-37; 1.4E-37, 7.5E-22	IPR028939, IPR029036; IPR029036, IPR028939	Pyrroline-5-carboxylate reductase, catalytic, N-terminal, Pyrroline-5-carboxylate reductase, dimerisation domain; Pyrroline-5-carboxylate reductase, dimerisation domain, Pyrroline-5-carboxylate reductase, catalytic, N-terminal
NP_037468.1	NP_037468.1; NP_060614.2	476; 476	Pfam	PF00344, PF10559; PF10559, PF00344	SecY translocase, Plug domain of Sec61p; Plug domain of Sec61p, SecY translocase	4.7E-77, 8.7E-18; 8.7E-18, 1.5E-77	IPR002208, IPR019561; IPR019561, IPR002208	SecY/SEC61-alpha family, Translocon Sec61/SecY, plug domain; Translocon Sec61/SecY, plug domain, SecY/SEC61-alpha family
NP_037472.2	NP_037472.2; NP_066008.2; NP_061759.1; NP_061760.2; NP_061756.1; NP_061758.1; NP_061763.1; NP_056484.2; NP_061993.3; NP_061761.1; NP_061755.1; NP_061754.1; NP_061762.2; NP_061757.1; NP_061992.3; NP_061753.1	818; 776; 798; 796; 798; 787; 793; 795; 801; 795; 795; 797; 794; 798; 797; 800	Pfam	PF16492, PF08266, PF00028; PF00028, PF08266, PF16492; PF16492, PF08266, PF00028; PF08266, PF16492, PF00028; PF16492, PF00028, PF08266; PF16492, PF00028, PF08266; PF08266, PF16492, PF00028; PF08266, PF00028, PF16492; PF00028, PF08266, PF16492; PF16492, PF08266, PF00028; PF08266, PF16492, PF00028; PF00028, PF08266, PF16492; PF16492, PF08266, PF00028; PF08266, PF16492, PF00028; PF00028, PF16492, PF08266; PF16492, PF08266, PF00028	Cadherin cytoplasmic C-terminal, Cadherin-like, Cadherin domain; Cadherin domain, Cadherin-like, Cadherin cytoplasmic C-terminal; Cadherin cytoplasmic C-terminal, Cadherin-like, Cadherin domain; Cadherin-like, Cadherin cytoplasmic C-terminal, Cadherin domain; Cadherin cytoplasmic C-terminal, Cadherin domain, Cadherin-like; Cadherin cytoplasmic C-terminal, Cadherin domain, Cadherin-like; Cadherin-like, Cadherin cytoplasmic C-terminal, Cadherin domain; Cadherin-like, Cadherin domain, Cadherin cytoplasmic C-terminal; Cadherin domain, Cadherin-like, Cadherin cytoplasmic C-terminal; Cadherin cytoplasmic C-terminal, Cadherin-like, Cadherin domain; Cadherin-like, Cadherin cytoplasmic C-terminal, Cadherin domain; Cadherin domain, Cadherin-like, Cadherin cytoplasmic C-terminal; Cadherin cytoplasmic C-terminal, Cadherin-like, Cadherin domain; Cadherin-like, Cadherin cytoplasmic C-terminal, Cadherin domain; Cadherin domain, Cadherin cytoplasmic C-terminal, Cadherin-like; Cadherin cytoplasmic C-terminal, Cadherin-like, Cadherin domain	2.2E-16, 5.0E-35, 1.5E-19; 4.7E-17, 4.2E-36, 7.1E-28; 3.3E-27, 7.6E-36, 6.8E-18; 3.5E-36, 3.2E-27, 6.2E-16; 9.1E-25, 1.0E-19, 1.5E-33; 7.8E-28, 2.6E-18, 6.0E-36; 6.6E-32, 9.6E-27, 1.6E-20; 2.1E-33, 6.4E-17, 2.8E-26; 7.7E-17, 1.6E-33, 1.5E-24; 1.4E-27, 8.4E-35, 1.4E-15; 2.8E-33, 3.4E-26, 1.8E-17; 2.0E-16, 1.5E-35, 1.2E-27; 1.6E-27, 1.6E-35, 8.8E-18; 1.3E-35, 6.7E-28, 1.3E-16; 1.7E-16, 1.4E-26, 5.3E-34; 2.8E-26, 5.3E-34, 1.9E-15	IPR032455, IPR013164, IPR002126; IPR002126, IPR013164, IPR032455; IPR032455, IPR013164, IPR002126; IPR013164, IPR032455, IPR002126; IPR032455, IPR002126, IPR013164; IPR032455, IPR002126, IPR013164; IPR013164, IPR032455, IPR002126; IPR013164, IPR002126, IPR032455; IPR002126, IPR013164, IPR032455; IPR032455, IPR013164, IPR002126; IPR013164, IPR032455, IPR002126; IPR002126, IPR013164, IPR032455; IPR032455, IPR013164, IPR002126; IPR013164, IPR032455, IPR002126; IPR002126, IPR032455, IPR013164; IPR032455, IPR013164, IPR002126	Cadherin, cytoplasmic C-terminal domain, Cadherin, N-terminal, Cadherin-like; Cadherin-like, Cadherin, N-terminal, Cadherin, cytoplasmic C-terminal domain; Cadherin, cytoplasmic C-terminal domain, Cadherin, N-terminal, Cadherin-like; Cadherin, N-terminal, Cadherin, cytoplasmic C-terminal domain, Cadherin-like; Cadherin, cytoplasmic C-terminal domain, Cadherin-like, Cadherin, N-terminal; Cadherin, cytoplasmic C-terminal domain, Cadherin-like, Cadherin, N-terminal; Cadherin, N-terminal, Cadherin, cytoplasmic C-terminal domain, Cadherin-like; Cadherin, N-terminal, Cadherin-like, Cadherin, cytoplasmic C-terminal domain; Cadherin-like, Cadherin, N-terminal, Cadherin, cytoplasmic C-terminal domain; Cadherin, cytoplasmic C-terminal domain, Cadherin, N-terminal, Cadherin-like; Cadherin, N-terminal, Cadherin, cytoplasmic C-terminal domain, Cadherin-like; Cadherin-like, Cadherin, N-terminal, Cadherin, cytoplasmic C-terminal domain; Cadherin, cytoplasmic C-terminal domain, Cadherin, N-terminal, Cadherin-like; Cadherin, N-terminal, Cadherin, cytoplasmic C-terminal domain, Cadherin-like; Cadherin-like, Cadherin, cytoplasmic C-terminal domain, Cadherin, N-terminal; Cadherin, cytoplasmic C-terminal domain, Cadherin, N-terminal, Cadherin-like
NP_037483.1	NP_037483.1; XP_016875401.1; XP_016884414.1; NP_001103348.1; NP_001073977.1; XP_005271218.1; XP_011523792.1	535; 534; 545; 520; 607; 635; 609	Pfam	PF00907; PF00907; PF00907; PF00907; PF00907; PF00907; PF00907	T-box; T-box; T-box; T-box; T-box; T-box; T-box	5.4E-79; 7.6E-81; 9.4E-80; 2.7E-77; 5.0E-79; 1.3E-77; 5.1E-81	IPR001699; IPR001699; IPR001699; IPR001699; IPR001699; IPR001699; IPR001699	Transcription factor, T-box; Transcription factor, T-box; Transcription factor, T-box; Transcription factor, T-box; Transcription factor, T-box; Transcription factor, T-box; Transcription factor, T-box
NP_037485.2	NP_037485.2; NP_001159588.1; XP_016877576.1; NP_055363.1	345; 359; 352; 351	Pfam	PF03250; PF03250; PF03250; PF03250	Tropomodulin; Tropomodulin; Tropomodulin; Tropomodulin	1.8E-58; 1.6E-61; 7.2E-61; 4.7E-60	IPR004934; IPR004934; IPR004934; IPR004934	Tropomodulin; Tropomodulin; Tropomodulin; Tropomodulin
NP_037518.3	NP_037518.3; NP_001317917.1	477; 515	Pfam	PF00153, PF13499; PF13499, PF00153	Mitochondrial carrier protein, EF-hand domain pair; EF-hand domain pair, Mitochondrial carrier protein	2.4E-26, 3.5E-10; 7.2E-9, 7.8E-25	IPR018108, IPR002048; IPR002048, IPR018108	Mitochondrial substrate/solute carrier, EF-hand domain; EF-hand domain, Mitochondrial substrate/solute carrier
NP_038462.1	NP_038462.1; NP_079497.2; NP_055406.2; NP_001265268.1	256; 250; 285; 241	Pfam	PF13499, PF13833; PF13499, PF13833; PF13499, PF13833; PF13499, PF13833	EF-hand domain pair, EF-hand domain pair; EF-hand domain pair, EF-hand domain pair; EF-hand domain pair, EF-hand domain pair; EF-hand domain pair, EF-hand domain pair	1.6E-17, 6.6E-6; 5.5E-18, 4.4E-6; 7.0E-16, 8.7E-6; 3.3E-17, 0.017	IPR002048, IPR002048; IPR002048, IPR002048; IPR002048, IPR002048; IPR002048, IPR002048	EF-hand domain, EF-hand domain; EF-hand domain, EF-hand domain; EF-hand domain, EF-hand domain; EF-hand domain, EF-hand domain
NP_038481.2	NP_663695.1; NP_038481.2; NP_115793.1; NP_073152.2; NP_115850.2	97; 97; 97; 97; 103	Pfam	PF07458; PF07458; PF07458; PF07458; PF07458	Sperm protein associated with nucleus, mapped to X chromosome; Sperm protein associated with nucleus, mapped to X chromosome; Sperm protein associated with nucleus, mapped to X chromosome; Sperm protein associated with nucleus, mapped to X chromosome; Sperm protein associated with nucleus, mapped to X chromosome	2.6E-47; 2.6E-47; 5.3E-45; 9.7E-46; 4.0E-37	IPR010007; IPR010007; IPR010007; IPR010007; IPR010007	SPAN-X family; SPAN-X family; SPAN-X family; SPAN-X family; SPAN-X family
NP_039224.2	NP_039224.2; NP_001335137.1; NP_112221.1	307; 320; 316	Pfam	PF13853; PF13853; PF13853	Olfactory receptor; Olfactory receptor; Olfactory receptor	2.3E-48; 5.9E-54; 9.1E-48	IPR000725; IPR000725; IPR000725	Olfactory receptor; Olfactory receptor; Olfactory receptor
NP_054752.3	NP_054752.3; NP_689850.2	244; 244	Pfam	PF08241; PF08241	Methyltransferase domain; Methyltransferase domain	4.0E-21; 7.9E-21	IPR013216; IPR013216	Methyltransferase type 11; Methyltransferase type 11
NP_054753.1	NP_054753.1; NP_060624.1	204; 202	Pfam	PF04729; PF04729	ASF1 like histone chaperone; ASF1 like histone chaperone	7.3E-72; 6.1E-71	IPR006818; IPR006818	Histone chaperone ASF1-like; Histone chaperone ASF1-like
