NP_000076.2	NP_000076.2; NP_004061.3	687; 687	Pfam	PF00571, PF00654; PF00654, PF00571	CBS domain, Voltage gated chloride channel; Voltage gated chloride channel, CBS domain	2.1E-5, 2.6E-73; 1.4E-74, 9.1E-5	IPR000644, IPR001807; IPR001807, IPR000644	CBS domain, Chloride channel, voltage gated; Chloride channel, voltage gated, CBS domain
NP_061744.1	NP_061744.1; NP_114477.1	932; 932	Pfam	PF08266, PF00028, PF15974, PF16492; PF16492, PF15974, PF00028, PF08266	Cadherin-like, Cadherin domain, Cadherin C-terminal cytoplasmic tail, catenin-binding region, Cadherin cytoplasmic C-terminal; Cadherin cytoplasmic C-terminal, Cadherin C-terminal cytoplasmic tail, catenin-binding region, Cadherin domain, Cadherin-like	2.3E-32, 2.8E-16, 1.5E-24, 1.5E-22; 2.3E-22, 1.5E-24, 1.4E-16, 2.3E-31	IPR013164, IPR002126, IPR031904, IPR032455; IPR032455, IPR031904, IPR002126, IPR013164	Cadherin, N-terminal, Cadherin-like, Cadherin, C-terminal catenin-binding domain, Cadherin, cytoplasmic C-terminal domain; Cadherin, cytoplasmic C-terminal domain, Cadherin, C-terminal catenin-binding domain, Cadherin-like, Cadherin, N-terminal
NP_061753.1	NP_061753.1; NP_061992.3	800; 797	Pfam	PF16492, PF08266, PF00028; PF00028, PF16492, PF08266	Cadherin cytoplasmic C-terminal, Cadherin-like, Cadherin domain; Cadherin domain, Cadherin cytoplasmic C-terminal, Cadherin-like	2.8E-26, 5.3E-34, 1.9E-15; 1.7E-16, 1.4E-26, 5.3E-34	IPR032455, IPR013164, IPR002126; IPR002126, IPR032455, IPR013164	Cadherin, cytoplasmic C-terminal domain, Cadherin, N-terminal, Cadherin-like; Cadherin-like, Cadherin, cytoplasmic C-terminal domain, Cadherin, N-terminal
NP_061754.1	NP_061754.1; NP_061755.1	797; 795	Pfam	PF00028, PF08266, PF16492; PF08266, PF16492, PF00028	Cadherin domain, Cadherin-like, Cadherin cytoplasmic C-terminal; Cadherin-like, Cadherin cytoplasmic C-terminal, Cadherin domain	2.0E-16, 1.5E-35, 1.2E-27; 2.8E-33, 3.4E-26, 1.8E-17	IPR002126, IPR013164, IPR032455; IPR013164, IPR032455, IPR002126	Cadherin-like, Cadherin, N-terminal, Cadherin, cytoplasmic C-terminal domain; Cadherin, N-terminal, Cadherin, cytoplasmic C-terminal domain, Cadherin-like
NP_061759.1	NP_061759.1; NP_061760.2	798; 796	Pfam	PF16492, PF08266, PF00028; PF08266, PF16492, PF00028	Cadherin cytoplasmic C-terminal, Cadherin-like, Cadherin domain; Cadherin-like, Cadherin cytoplasmic C-terminal, Cadherin domain	3.3E-27, 7.6E-36, 6.8E-18; 3.5E-36, 3.2E-27, 6.2E-16	IPR032455, IPR013164, IPR002126; IPR013164, IPR032455, IPR002126	Cadherin, cytoplasmic C-terminal domain, Cadherin, N-terminal, Cadherin-like; Cadherin, N-terminal, Cadherin, cytoplasmic C-terminal domain, Cadherin-like
NP_061828.1	NP_061828.1; XP_016882687.1; NP_001129064.1	229; 203; 156	Pfam	PF00240; PF01020, PF00240; PF01599, PF00240	Ubiquitin family; Ribosomal L40e family, Ubiquitin family; Ribosomal protein S27a, Ubiquitin family	5.7E-34; 7.3E-16, 4.4E-34; 6.2E-26, 2.4E-34	IPR000626; IPR001975, IPR000626; IPR002906, IPR000626	Ubiquitin-like domain; Ribosomal protein L40e, Ubiquitin-like domain; Ribosomal protein S27a, Ubiquitin-like domain
NP_061948.1	NP_061948.1; NP_061949.3; NP_061950.2; NP_066307.1	530; 530; 530; 530	Pfam	PF00201; PF00201; PF00201; PF00201	UDP-glucoronosyl and UDP-glucosyl transferase; UDP-glucoronosyl and UDP-glucosyl transferase; UDP-glucoronosyl and UDP-glucosyl transferase; UDP-glucoronosyl and UDP-glucosyl transferase	1.9E-242; 3.5E-245; 1.7E-240; 9.7E-247	IPR002213; IPR002213; IPR002213; IPR002213	UDP-glucuronosyl/UDP-glucosyltransferase; UDP-glucuronosyl/UDP-glucosyltransferase; UDP-glucuronosyl/UDP-glucosyltransferase; UDP-glucuronosyl/UDP-glucosyltransferase
NP_061983.2	NP_061983.2; NP_077819.2	545; 538	Pfam	PF01352, PF02023, PF00096; PF02023, PF01352, PF00096	KRAB box, SCAN domain, Zinc finger, C2H2 type; SCAN domain, KRAB box, Zinc finger, C2H2 type	3.1E-9, 7.7E-42, 1.6E-7; 1.2E-41, 3.9E-8, 4.9E-7	IPR001909, IPR003309, IPR013087; IPR003309, IPR001909, IPR013087	Krueppel-associated box, SCAN domain, Zinc finger C2H2-type; SCAN domain, Krueppel-associated box, Zinc finger C2H2-type
NP_062818.1	NP_062818.1; NP_001358026.1	702; 748	Pfam	PF07648, PF03137; PF03137, PF07648	Kazal-type serine protease inhibitor domain, Organic Anion Transporter Polypeptide (OATP) family; Organic Anion Transporter Polypeptide (OATP) family, Kazal-type serine protease inhibitor domain	3.9E-14, 1.2E-172; 2.0E-173, 4.2E-14	IPR002350, IPR004156; IPR004156, IPR002350	Kazal domain, Organic anion transporter polypeptide; Organic anion transporter polypeptide, Kazal domain
NP_063937.2	NP_063937.2; NP_002084.2	483; 433	Pfam	PF00069; PF00069	Protein kinase domain; Protein kinase domain	5.9E-70; 4.2E-68	IPR000719; IPR000719	Protein kinase domain; Protein kinase domain
NP_064695.3	NP_064695.3; XP_016867713.1	316; 344	Pfam	PF00248; PF00248	Aldo/keto reductase family; Aldo/keto reductase family	2.4E-58; 1.1E-53	IPR023210; IPR023210	NADP-dependent oxidoreductase domain; NADP-dependent oxidoreductase domain
NP_065091.1	NP_065091.1; NP_001182163.1; NP_001193555.1; NP_001098992.1; NP_001371840.1	452; 452; 452; 452; 452	Pfam	PF00643, PF00622, PF15227; PF00622, PF00643, PF15227; PF00643, PF00622, PF15227; PF15227, PF00622, PF00643; PF15227, PF00622, PF00643	B-box zinc finger, SPRY domain, zinc finger of C3HC4-type, RING; SPRY domain, B-box zinc finger, zinc finger of C3HC4-type, RING; B-box zinc finger, SPRY domain, zinc finger of C3HC4-type, RING; zinc finger of C3HC4-type, RING, SPRY domain, B-box zinc finger; zinc finger of C3HC4-type, RING, SPRY domain, B-box zinc finger	1.4E-6, 3.3E-7, 9.9E-9; 1.4E-7, 1.4E-6, 9.9E-9; 4.0E-6, 8.2E-8, 3.3E-10; 4.1E-10, 1.3E-7, 2.4E-5; 4.1E-10, 1.3E-7, 2.4E-5	IPR000315, IPR003877, -; IPR003877, IPR000315, -; IPR000315, IPR003877, -; -, IPR003877, IPR000315; -, IPR003877, IPR000315	B-box-type zinc finger, SPRY domain, -; SPRY domain, B-box-type zinc finger, -; B-box-type zinc finger, SPRY domain, -; -, SPRY domain, B-box-type zinc finger; -, SPRY domain, B-box-type zinc finger
NP_065123.1	NP_065123.1; NP_001093162.1	153; 154	Pfam	PF01287; PF01287	Eukaryotic elongation factor 5A hypusine, DNA-binding OB fold; Eukaryotic elongation factor 5A hypusine, DNA-binding OB fold	7.1E-27; 1.9E-24	IPR020189; IPR020189	Translation elongation factor, IF5A C-terminal; Translation elongation factor, IF5A C-terminal
NP_065131.1	NP_065131.1; NP_001185915.1	133; 179	Pfam	PF00014, PF00095; PF00014, PF00095	Kunitz/Bovine pancreatic trypsin inhibitor domain, WAP-type (Whey Acidic Protein) 'four-disulfide core'; Kunitz/Bovine pancreatic trypsin inhibitor domain, WAP-type (Whey Acidic Protein) 'four-disulfide core'	4.6E-19, 3.0E-8; 8.5E-19, 5.3E-8	IPR002223, IPR008197; IPR002223, IPR008197	Pancreatic trypsin inhibitor Kunitz domain, WAP-type 'four-disulfide core' domain; Pancreatic trypsin inhibitor Kunitz domain, WAP-type 'four-disulfide core' domain
NP_065207.2	NP_065207.2; XP_016858748.1	559; 571	Pfam	PF00652, PF00535; PF00535, PF00652	Ricin-type beta-trefoil lectin domain, Glycosyl transferase family 2; Glycosyl transferase family 2, Ricin-type beta-trefoil lectin domain	1.5E-29, 1.9E-38; 4.5E-37, 5.4E-30	IPR000772, IPR001173; IPR001173, IPR000772	Ricin B, lectin domain, Glycosyltransferase 2-like; Glycosyltransferase 2-like, Ricin B, lectin domain
NP_065396.1	NP_065396.1; NP_001018091.1	375; 375	Pfam	PF00047; PF00047	Immunoglobulin domain; Immunoglobulin domain	8.7E-10; 8.7E-10	IPR013151; IPR013151	Immunoglobulin; Immunoglobulin
NP_065906.1	NP_065906.1; NP_001092096.1	531; 572	Pfam	PF00096; PF00096, PF01352	Zinc finger, C2H2 type; Zinc finger, C2H2 type, KRAB box	4.3E-6; 4.1E-6, 4.3E-22	IPR013087; IPR013087, IPR001909	Zinc finger C2H2-type; Zinc finger C2H2-type, Krueppel-associated box
NP_066008.2	NP_066008.2; NP_061993.3; NP_061756.1	776; 801; 798	Pfam	PF00028, PF08266, PF16492; PF00028, PF08266, PF16492; PF16492, PF00028, PF08266	Cadherin domain, Cadherin-like, Cadherin cytoplasmic C-terminal; Cadherin domain, Cadherin-like, Cadherin cytoplasmic C-terminal; Cadherin cytoplasmic C-terminal, Cadherin domain, Cadherin-like	4.7E-17, 4.2E-36, 7.1E-28; 7.7E-17, 1.6E-33, 1.5E-24; 9.1E-25, 1.0E-19, 1.5E-33	IPR002126, IPR013164, IPR032455; IPR002126, IPR013164, IPR032455; IPR032455, IPR002126, IPR013164	Cadherin-like, Cadherin, N-terminal, Cadherin, cytoplasmic C-terminal domain; Cadherin-like, Cadherin, N-terminal, Cadherin, cytoplasmic C-terminal domain; Cadherin, cytoplasmic C-terminal domain, Cadherin-like, Cadherin, N-terminal
NP_066284.2	NP_066284.2; NP_932349.2	278; 232	Pfam	PF13561; PF00106	Enoyl-(Acyl carrier protein) reductase; short chain dehydrogenase	3.4E-64; 2.3E-46	-; IPR002347	-; Short-chain dehydrogenase/reductase SDR
NP_066306.2	NP_066306.2; NP_001092005.1	317; 317	Pfam	PF15227, PF13765, PF11002, PF00622; PF11002, PF13765, PF15227, PF00622	zinc finger of C3HC4-type, RING, SPRY-associated domain, RFPL defining motif (RDM), SPRY domain; RFPL defining motif (RDM), SPRY-associated domain, zinc finger of C3HC4-type, RING, SPRY domain	6.9E-16, 4.0E-14, 6.2E-22, 8.8E-18; 3.4E-22, 1.4E-14, 2.7E-16, 2.5E-17	-, IPR006574, IPR022723, IPR003877; IPR022723, IPR006574, -, IPR003877	-, SPRY-associated, RDM domain, Ret finger protein-like, SPRY domain; RDM domain, Ret finger protein-like, SPRY-associated, -, SPRY domain
NP_066940.3	NP_066940.3; XP_024304612.1	593; 632	Pfam	PF00875, PF03441; PF00875, PF03441	DNA photolyase, FAD binding domain of DNA photolyase; DNA photolyase, FAD binding domain of DNA photolyase	6.9E-48, 6.0E-77; 7.4E-45, 8.6E-78	IPR006050, IPR005101; IPR006050, IPR005101	DNA photolyase, N-terminal, Cryptochrome/DNA photolyase, FAD-binding domain; DNA photolyase, N-terminal, Cryptochrome/DNA photolyase, FAD-binding domain
NP_066953.1	NP_066953.1; NP_001129261.2; NP_001137355.1; NP_001355057.1; NP_001116540.1; NP_001137504.2; NP_001157734.2; NP_001157733.1	165; 164; 164; 164; 164; 164; 164; 164	Pfam	PF00160; PF00160; PF00160; PF00160; PF00160; PF00160; PF00160; PF00160	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD; Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD; Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD; Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD; Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD; Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD; Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD; Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD	6.8E-47; 7.6E-43; 5.1E-40; 5.5E-40; 4.7E-41; 4.7E-42; 4.7E-42; 3.7E-41	IPR002130; IPR002130; IPR002130; IPR002130; IPR002130; IPR002130; IPR002130; IPR002130	Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain; Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain; Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain; Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain; Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain; Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain; Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain; Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain
NP_067015.2	NP_067015.2; NP_005514.1	338; 313	Pfam	PF00046, PF12045; PF12045, PF00046	Homeodomain, Protein of unknown function (DUF3528); Protein of unknown function (DUF3528), Homeodomain	4.5E-20, 1.0E-21; 4.3E-63, 9.1E-20	IPR001356, IPR021918; IPR021918, IPR001356	Homeobox domain, Domain of unknown function DUF3528, homeobox protein, eukaryotic; Domain of unknown function DUF3528, homeobox protein, eukaryotic, Homeobox domain
NP_067067.1	NP_067067.1; NP_071440.1	400; 399	Pfam	PF04670; PF04670	Gtr1/RagA G protein conserved region; Gtr1/RagA G protein conserved region	1.7E-71; 1.4E-72	IPR006762; IPR006762	Gtr1/RagA G protein; Gtr1/RagA G protein
NP_067076.2	NP_067076.2; NP_001186048.1	518; 503	Pfam	PF15227, PF00643, PF00622, PF13765; PF15227, PF04032, PF13765, PF00643	zinc finger of C3HC4-type, RING, B-box zinc finger, SPRY domain, SPRY-associated domain; zinc finger of C3HC4-type, RING, RNAse P Rpr2/Rpp21/SNM1 subunit domain, SPRY-associated domain, B-box zinc finger	1.9E-15, 3.0E-8, 5.4E-21, 1.7E-21; 1.8E-15, 5.3E-14, 1.6E-21, 2.9E-8	-, IPR000315, IPR003877, IPR006574; -, IPR007175, IPR006574, IPR000315	-, B-box-type zinc finger, SPRY domain, SPRY-associated; -, Ribonuclease P subunit, Rpr2/Snm1/Rpp21, SPRY-associated, B-box-type zinc finger
NP_067078.1	NP_067078.1; XP_016860009.1	420; 418	Pfam	PF04710; PF04710	Pellino; Pellino	1.2E-223; 2.2E-224	IPR006800; IPR006800	Pellino family; Pellino family
NP_067628.1	NP_067628.1; NP_078809.2	395; 411	Pfam	PF00685; PF00685	Sulfotransferase domain; Sulfotransferase domain	1.3E-21; 1.9E-21	IPR000863; IPR000863	Sulfotransferase domain; Sulfotransferase domain
NP_068802.1	NP_075267.1; NP_068802.1	110; 110	Pfam	PF04419; PF04419	4F5 protein related disordered region; 4F5 protein related disordered region	3.0E-11; 3.0E-11	IPR007513; IPR007513	Uncharacterised protein family SERF, N-terminal; Uncharacterised protein family SERF, N-terminal
NP_068818.4	NP_068818.4; XP_011512864.1; NP_072049.2; XP_024308321.1	266; 276; 266; 279	Pfam	PF00969, PF07654; PF07654, PF00969; PF00969, PF07654; PF00969, PF07654	Class II histocompatibility antigen, beta domain, Immunoglobulin C1-set domain; Immunoglobulin C1-set domain, Class II histocompatibility antigen, beta domain; Class II histocompatibility antigen, beta domain, Immunoglobulin C1-set domain; Class II histocompatibility antigen, beta domain, Immunoglobulin C1-set domain	1.3E-35, 1.1E-26; 1.5E-25, 2.4E-36; 6.7E-37, 2.0E-26; 2.0E-37, 2.4E-26	IPR000353, IPR003597; IPR003597, IPR000353; IPR000353, IPR003597; IPR000353, IPR003597	MHC class II, beta chain, N-terminal, Immunoglobulin C1-set; Immunoglobulin C1-set, MHC class II, beta chain, N-terminal; MHC class II, beta chain, N-terminal, Immunoglobulin C1-set; MHC class II, beta chain, N-terminal, Immunoglobulin C1-set
NP_068832.1	NP_001382859.1; NP_068832.1; NP_001337142.1	45; 45; 80	Pfam	PF01290; PF01290; PF01290	Thymosin beta-4 family; Thymosin beta-4 family; Thymosin beta-4 family	6.3E-20; 6.3E-20; 8.6E-15	IPR001152; IPR001152; IPR001152	Beta-thymosin; Beta-thymosin; Beta-thymosin
NP_071286.1	NP_071286.1; NP_001191197.1	95; 144	Pfam	PF02038; PF02038	ATP1G1/PLM/MAT8 family; ATP1G1/PLM/MAT8 family	7.6E-26; 2.1E-25	IPR000272; IPR000272	Ion-transport regulator, FXYD motif; Ion-transport regulator, FXYD motif
NP_071336.1	NP_001093156.1; NP_071336.1	626; 626	Pfam	PF02136, PF09162, PF03943; PF02136, PF09162, PF03943	Nuclear transport factor 2 (NTF2) domain, Tap, RNA-binding, TAP C-terminal domain; Nuclear transport factor 2 (NTF2) domain, Tap, RNA-binding, TAP C-terminal domain	1.1E-18, 1.0E-38, 1.0E-24; 1.1E-18, 1.0E-38, 1.0E-24	IPR002075, IPR015245, IPR005637; IPR002075, IPR015245, IPR005637	Nuclear transport factor 2, Nuclear RNA export factor Tap, RNA-binding domain, TAP C-terminal (TAP-C) domain; Nuclear transport factor 2, Nuclear RNA export factor Tap, RNA-binding domain, TAP C-terminal (TAP-C) domain
NP_072091.1	NP_072091.1; XP_016864328.1	872; 899	Pfam	PF00685, PF12062; PF00685, PF12062	Sulfotransferase domain, heparan sulfate-N-deacetylase; Sulfotransferase domain, heparan sulfate-N-deacetylase	1.5E-42, 5.1E-244; 3.1E-42, 8.2E-247	IPR000863, IPR021930; IPR000863, IPR021930	Sulfotransferase domain, Heparan sulphate-N-deacetylase; Sulfotransferase domain, Heparan sulphate-N-deacetylase
NP_073729.1	NP_073729.1; NP_001078950.1	125; 125	Pfam	PF02991; PF02991	Autophagy protein Atg8 ubiquitin like; Autophagy protein Atg8 ubiquitin like	9.9E-44; 3.1E-42	IPR004241; IPR004241	Autophagy protein Atg8 ubiquitin-like; Autophagy protein Atg8 ubiquitin-like
NP_073743.2	NP_073743.2; NP_872294.2	366; 370	Pfam	PF00443; PF00443	Ubiquitin carboxyl-terminal hydrolase; Ubiquitin carboxyl-terminal hydrolase	3.1E-62; 6.0E-63	IPR001394; IPR001394	Peptidase C19, ubiquitin carboxyl-terminal hydrolase; Peptidase C19, ubiquitin carboxyl-terminal hydrolase
NP_075389.2	NP_075389.2; NP_001019832.2; NP_001278309.1; NP_075390.1	474; 474; 474; 474	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 	; ; ; 
NP_076435.1	NP_076435.1; NP_803253.1; NP_001343299.1	131; 97; 116	Pfam	PF00021; PF00021; PF00087	u-PAR/Ly-6 domain; u-PAR/Ly-6 domain; Snake toxin and toxin-like protein	1.6E-7; 6.4E-8; 2.3E-6	IPR016054; IPR016054; IPR035076	Ly-6 antigen/uPA receptor-like; Ly-6 antigen/uPA receptor-like; Snake toxin/toxin-like
NP_076920.1	NP_076920.1; NP_055436.2	251; 255	Pfam	PF00046; PF00046	Homeodomain; Homeodomain	4.6E-22; 5.7E-22	IPR001356; IPR001356	Homeobox domain; Homeobox domain
NP_076949.1	NP_001014999.1; NP_076949.1	275; 275	Pfam	PF01541; PF01541	GIY-YIG catalytic domain; GIY-YIG catalytic domain	4.5E-12; 4.5E-12	IPR000305; IPR000305	GIY-YIG endonuclease; GIY-YIG endonuclease
NP_077026.2	NP_077026.2; NP_115897.1	350; 350	Pfam	PF10269; PF10269	Transmembrane Fragile-X-F protein; Transmembrane Fragile-X-F protein	5.7E-58; 2.3E-59	IPR019396; IPR019396	Transmembrane Fragile-X-F-associated protein; Transmembrane Fragile-X-F-associated protein
NP_078807.1	NP_078807.1; NP_001098047.1	445; 448	Pfam	PF06237; PF06237	Protein of unknown function (DUF1011); Protein of unknown function (DUF1011)	7.1E-36; 3.3E-36	IPR009357; IPR009357	Solute carrier family 52, riboflavin transporter; Solute carrier family 52, riboflavin transporter
NP_079037.3	NP_079037.3; XP_024307128.1	216; 217	Pfam	PF03637; PF03637	Mob1/phocein family; Mob1/phocein family	3.6E-74; 1.2E-74	IPR005301; IPR005301	MOB kinase activator family; MOB kinase activator family
NP_079141.2	NP_079141.2; NP_001342210.1	305; 305	Pfam	PF00046; PF00046	Homeodomain; Homeodomain	1.3E-18; 1.3E-18	IPR001356; IPR001356	Homeobox domain; Homeobox domain
NP_079493.1	NP_079493.1; NP_570970.2	246; 246	Pfam	PF00129; PF00129	Class I Histocompatibility antigen, domains alpha 1 and 2; Class I Histocompatibility antigen, domains alpha 1 and 2	3.3E-19; 1.0E-17	IPR011161; IPR011161	MHC class I-like antigen recognition-like; MHC class I-like antigen recognition-like
NP_112163.1	NP_112163.1; NP_001005190.1; NP_001357409.1	309; 309; 319	Pfam	PF13853; PF13853; PF13853	Olfactory receptor; Olfactory receptor; Olfactory receptor	1.9E-48; 3.7E-49; 1.2E-49	IPR000725; IPR000725; IPR000725	Olfactory receptor; Olfactory receptor; Olfactory receptor
NP_112167.2	NP_112167.2; NP_001335223.1; NP_001005216.2	312; 312; 311	Pfam	PF13853; PF13853; PF13853	Olfactory receptor; Olfactory receptor; Olfactory receptor	4.8E-45; 7.1E-47; 2.1E-47	IPR000725; IPR000725; IPR000725	Olfactory receptor; Olfactory receptor; Olfactory receptor
NP_112228.1	NP_112228.1; NP_112229.1; NP_114163.1; NP_001244234.1	167; 177; 174; 121	Pfam	PF01500; PF01500; PF01500; PF01500	Keratin, high sulfur B2 protein; Keratin, high sulfur B2 protein; Keratin, high sulfur B2 protein; Keratin, high sulfur B2 protein	2.4E-67; 6.9E-52; 8.0E-46; 8.9E-47	IPR002494; IPR002494; IPR002494; IPR002494	Keratin-associated protein; Keratin-associated protein; Keratin-associated protein; Keratin-associated protein
NP_112238.1	NP_112238.1; NP_149048.2; NP_114060.1; NP_001309386.1; NP_001352181.1; NP_001139513.1; NP_001382996.1	205; 195; 201; 195; 210; 210; 235	Pfam	PF13885; PF13885; PF13885; PF13885; PF13885; PF01500; PF13885	Keratin, high sulfur B2 protein; Keratin, high sulfur B2 protein; Keratin, high sulfur B2 protein; Keratin, high sulfur B2 protein; Keratin, high sulfur B2 protein; Keratin, high sulfur B2 protein; Keratin, high sulfur B2 protein	1.1E-10; 1.2E-11; 3.0E-12; 1.2E-7; 1.4E-11; 3.7E-14; 3.1E-9	IPR002494; IPR002494; IPR002494; IPR002494; IPR002494; IPR002494; IPR002494	Keratin-associated protein; Keratin-associated protein; Keratin-associated protein; Keratin-associated protein; Keratin-associated protein; Keratin-associated protein; Keratin-associated protein
NP_112533.1	NP_112533.1; NP_112420.1; NP_001317178.1	353; 372; 378	Pfam	PF00076; PF11627, PF00076; PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain); Nuclear factor hnRNPA1, RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain); RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	7.9E-15; 1.1E-18, 1.5E-17; 3.6E-16	IPR000504; IPR021662, IPR000504; IPR000504	RNA recognition motif domain; Nuclear factor hnRNPA1, RNA recognition motif domain; RNA recognition motif domain
NP_112599.2	NP_112599.2; NP_149120.1	348; 307	Pfam	PF00096, PF13912; PF00096, PF13912	Zinc finger, C2H2 type, C2H2-type zinc finger; Zinc finger, C2H2 type, C2H2-type zinc finger	5.1E-6, 0.03; 4.3E-6, 0.027	IPR013087, -; IPR013087, -	Zinc finger C2H2-type, -; Zinc finger C2H2-type, -
NP_112604.2	NP_112604.2; NP_001013653.1; NP_001369287.1; NP_001289480.1; NP_001130033.3	306; 293; 293; 293; 293	Pfam	PF00076; PF00076; PF00076; PF00076; PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain); RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain); RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain); RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain); RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	2.9E-13; 5.1E-12; 5.1E-12; 5.1E-12; 8.2E-12	IPR000504; IPR000504; IPR000504; IPR000504; IPR000504	RNA recognition motif domain; RNA recognition motif domain; RNA recognition motif domain; RNA recognition motif domain; RNA recognition motif domain
NP_113640.1	NP_113640.1; NP_001382928.1	118; 118	Pfam	PF15320; PF15320	mRNA cap methylation, RNMT-activating mini protein; mRNA cap methylation, RNMT-activating mini protein	2.1E-25; 2.4E-25	IPR028271; IPR028271	RNA guanine-N7 methyltransferase activating subunit; RNA guanine-N7 methyltransferase activating subunit
NP_114165.1	NP_114165.1; NP_149441.1	98; 98	Pfam	PF04579; PF04579	Keratin, high-sulphur matrix protein; Keratin, high-sulphur matrix protein	1.7E-43; 9.5E-44	IPR007659; IPR007659	Keratin, high-sulphur matrix protein; Keratin, high-sulphur matrix protein
NP_114167.2	NP_114167.2; NP_001305156.1; NP_001264261.1; XP_003846529.1; NP_149461.2; NP_114169.2; NP_114168.1	174; 174; 169; 174; 154; 159; 159	Pfam	PF13885; PF13885; PF13885; PF13885; PF13885; PF13885; PF13885	Keratin, high sulfur B2 protein; Keratin, high sulfur B2 protein; Keratin, high sulfur B2 protein; Keratin, high sulfur B2 protein; Keratin, high sulfur B2 protein; Keratin, high sulfur B2 protein; Keratin, high sulfur B2 protein	3.8E-9; 2.9E-9; 3.0E-9; 2.2E-9; 5.3E-8; 1.1E-9; 7.0E-10	IPR002494; IPR002494; IPR002494; IPR002494; IPR002494; IPR002494; IPR002494	Keratin-associated protein; Keratin-associated protein; Keratin-associated protein; Keratin-associated protein; Keratin-associated protein; Keratin-associated protein; Keratin-associated protein
NP_114430.2	NP_114430.2; XP_016859439.1; XP_016856607.1	193; 193; 193	Pfam	PF13833, PF13499; PF13499, PF13833; PF13499, PF13833	EF-hand domain pair, EF-hand domain pair; EF-hand domain pair, EF-hand domain pair; EF-hand domain pair, EF-hand domain pair	1.9E-7, 7.6E-18; 1.9E-17, 4.6E-9; 6.5E-18, 1.0E-6	IPR002048, IPR002048; IPR002048, IPR002048; IPR002048, IPR002048	EF-hand domain, EF-hand domain; EF-hand domain, EF-hand domain; EF-hand domain, EF-hand domain
NP_115514.2	NP_115514.2; NP_690867.3	684; 674	Pfam	PF01344, PF00651, PF07707; PF01344, PF00651, PF07707	Kelch motif, BTB/POZ domain, BTB And C-terminal Kelch; Kelch motif, BTB/POZ domain, BTB And C-terminal Kelch	1.3E-7, 5.3E-24, 9.7E-17; 5.7E-9, 3.4E-24, 8.7E-18	IPR006652, IPR000210, IPR011705; IPR006652, IPR000210, IPR011705	Kelch repeat type 1, BTB/POZ domain, BTB/Kelch-associated; Kelch repeat type 1, BTB/POZ domain, BTB/Kelch-associated
NP_115622.2	NP_115622.2; NP_001087194.1	569; 520	Pfam	PF13920, PF00013; PF13920, PF00013	Zinc finger, C3HC4 type (RING finger), KH domain; Zinc finger, C3HC4 type (RING finger), KH domain	1.3E-10, 4.4E-14; 3.2E-10, 2.5E-14	-, IPR004088; -, IPR004088	-, K Homology domain, type 1; -, K Homology domain, type 1
NP_115634.3	NP_115634.3; NP_001116863.3; NP_001278395.1	549; 549; 549	Pfam	PF00566; PF00566; PF00566	Rab-GTPase-TBC domain; Rab-GTPase-TBC domain; Rab-GTPase-TBC domain	2.1E-37; 2.4E-37; 2.2E-37	IPR000195; IPR000195; IPR000195	Rab-GTPase-TBC domain; Rab-GTPase-TBC domain; Rab-GTPase-TBC domain
NP_115887.1	NP_115887.1; NP_001093155.1	288; 288	Pfam	PF00046; PF00046	Homeodomain; Homeodomain	1.7E-16; 3.5E-16	IPR001356; IPR001356	Homeobox domain; Homeobox domain
NP_115934.1	NP_115934.1; NP_001072998.1	223; 223	Pfam	PF09443; PF09443	Cripto_Frl-1_Cryptic (CFC); Cripto_Frl-1_Cryptic (CFC)	6.5E-15; 6.5E-15	IPR019011; IPR019011	Cryptic/Cripto, CFC domain; Cryptic/Cripto, CFC domain
