NP_000026.2	NP_000026.2; NP_005156.1	364; 364	Pfam	PF00274; PF00274	Fructose-bisphosphate aldolase class-I; Fructose-bisphosphate aldolase class-I	5.2E-173; 8.4E-181	IPR000741; IPR000741	Fructose-bisphosphate aldolase, class-I; Fructose-bisphosphate aldolase, class-I
NP_039226.1	NP_039226.1; NP_001004465.1; NP_039227.1; NP_039228.1; NP_001004466.1	316; 316; 315; 318; 315	Pfam	PF13853; PF13853; PF13853; PF13853; PF13853	Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor	4.0E-50; 2.1E-51; 2.6E-51; 3.1E-51; 4.9E-52	IPR000725; IPR000725; IPR000725; IPR000725; IPR000725	Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor
NP_054753.1	NP_054753.1; NP_060624.1	204; 202	Pfam	PF04729; PF04729	ASF1 like histone chaperone; ASF1 like histone chaperone	7.3E-72; 6.1E-71	IPR006818; IPR006818	Histone chaperone ASF1-like; Histone chaperone ASF1-like
NP_054901.1	NP_054901.1; NP_001307731.1; NP_001358315.1	153; 153; 158	Pfam	PF04061; PF04061; PF04061	ORMDL family; ORMDL family; ORMDL family	9.5E-54; 3.2E-53; 5.6E-53	IPR007203; IPR007203; IPR007203	ORMDL family; ORMDL family; ORMDL family
NP_055006.1	NP_055006.1; XP_011509919.1	1980; 1988	Pfam	PF00520, PF06512, PF00612, PF11933; PF11933, PF00520, PF06512	Ion transport protein, Sodium ion transport-associated, IQ calmodulin-binding motif, Cytoplasmic domain of voltage-gated Na+ ion channel; Cytoplasmic domain of voltage-gated Na+ ion channel, Ion transport protein, Sodium ion transport-associated	8.0E-82, 3.4E-58, 3.3E-4, 1.1E-68; 1.1E-76, 2.0E-82, 7.6E-57	IPR005821, IPR010526, IPR000048, IPR024583; IPR024583, IPR005821, IPR010526	Ion transport domain, Sodium ion transport-associated, IQ motif, EF-hand binding site, Voltage-gated Na+ ion channel, cytoplasmic domain; Voltage-gated Na+ ion channel, cytoplasmic domain, Ion transport domain, Sodium ion transport-associated
NP_055027.1	NP_055027.1; NP_005514.1	304; 313	Pfam	PF12045, PF00046; PF12045, PF00046	Protein of unknown function (DUF3528), Homeodomain; Protein of unknown function (DUF3528), Homeodomain	1.3E-48, 3.2E-19; 4.3E-63, 9.1E-20	IPR021918, IPR001356; IPR021918, IPR001356	Domain of unknown function DUF3528, homeobox protein, eukaryotic, Homeobox domain; Domain of unknown function DUF3528, homeobox protein, eukaryotic, Homeobox domain
NP_055033.2	NP_055033.2; NP_001355180.1; NP_055034.2; NP_056952.2; NP_001278624.1	348; 348; 348; 341; 338	Pfam	PF00047; PF00047; PF00047; PF00047; PF00047	Immunoglobulin domain; Immunoglobulin domain; Immunoglobulin domain; Immunoglobulin domain; Immunoglobulin domain	4.5E-9; 1.9E-9; 2.2E-8; 5.2E-9; 1.6E-9	IPR013151; IPR013151; IPR013151; IPR013151; IPR013151	Immunoglobulin; Immunoglobulin; Immunoglobulin; Immunoglobulin; Immunoglobulin
NP_055039.1	NP_055039.1; NP_001073276.1; NP_001073275.1	388; 388; 388	Pfam	PF07966, PF00026; PF07966, PF00026; PF07966, PF00026	A1 Propeptide, Eukaryotic aspartyl protease; A1 Propeptide, Eukaryotic aspartyl protease; A1 Propeptide, Eukaryotic aspartyl protease	5.3E-11, 4.8E-126; 5.3E-11, 1.1E-125; 5.3E-11, 1.1E-125	IPR012848, IPR033121; IPR012848, IPR033121; IPR012848, IPR033121	Aspartic peptidase, N-terminal, Peptidase family A1 domain; Aspartic peptidase, N-terminal, Peptidase family A1 domain; Aspartic peptidase, N-terminal, Peptidase family A1 domain
NP_055046.1	NP_055046.1; NP_001317054.1; XP_016858330.1	118; 118; 122	Pfam	PF00957; PF00957; PF00957	Synaptobrevin; Synaptobrevin; Synaptobrevin	1.6E-33; 6.0E-35; 9.8E-34	IPR001388; IPR001388; IPR001388	Synaptobrevin; Synaptobrevin; Synaptobrevin
NP_055067.1	NP_055067.1; NP_114153.1	301; 301	Pfam	PF00153; PF00153	Mitochondrial carrier protein; Mitochondrial carrier protein	1.6E-20; 8.4E-20	IPR018108; IPR018108	Mitochondrial substrate/solute carrier; Mitochondrial substrate/solute carrier
NP_055072.3	NP_055072.3; NP_066978.1	399; 404	Pfam	PF00059; PF00059	Lectin C-type domain; Lectin C-type domain	4.1E-25; 2.7E-22	IPR001304; IPR001304	C-type lectin-like; C-type lectin-like
NP_055109.1	NP_055109.1; NP_689615.2	374; 369	Pfam	PF08390, PF03798; PF03798, PF08390	TRAM1-like protein, TLC domain; TLC domain, TRAM1-like protein	2.5E-22, 1.1E-26; 5.3E-22, 1.3E-20	IPR013599, IPR006634; IPR006634, IPR013599	TRAM1-like protein, TRAM/LAG1/CLN8 homology domain; TRAM/LAG1/CLN8 homology domain, TRAM1-like protein
NP_055363.1	NP_055363.1; XP_016877576.1	351; 352	Pfam	PF03250; PF03250	Tropomodulin; Tropomodulin	4.7E-60; 7.2E-61	IPR004934; IPR004934	Tropomodulin; Tropomodulin
NP_055381.1	NP_055381.1; NP_001373017.1	312; 312	Pfam	PF13853; PF13853	Olfactory receptor; Olfactory receptor	6.4E-46; 2.0E-50	IPR000725; IPR000725	Olfactory receptor; Olfactory receptor
NP_055403.2	NP_055403.2; NP_878314.1	365; 361	Pfam	PF00046; PF00046, PF03826	Homeodomain; Homeodomain, OAR motif	5.7E-23; 1.8E-23, 1.8E-6	IPR001356; IPR001356, IPR003654	Homeobox domain; Homeobox domain, OAR domain
NP_055415.1	NP_055415.1; NP_644670.1; NP_055416.2; NP_001269374.1	535; 541; 543; 548	Pfam	PF16880, PF18150, PF00350, PF12763; PF16880, PF00350, PF12763, PF18150; PF00350, PF18150, PF12763, PF16880; PF16880, PF18150, PF12763, PF00350	N-terminal EH-domain containing protein, Domain of unknown function (DUF5600), Dynamin family, Cytoskeletal-regulatory complex EF hand; N-terminal EH-domain containing protein, Dynamin family, Cytoskeletal-regulatory complex EF hand, Domain of unknown function (DUF5600); Dynamin family, Domain of unknown function (DUF5600), Cytoskeletal-regulatory complex EF hand, N-terminal EH-domain containing protein; N-terminal EH-domain containing protein, Domain of unknown function (DUF5600), Cytoskeletal-regulatory complex EF hand, Dynamin family	1.5E-18, 1.1E-45, 2.1E-12, 4.6E-18; 1.1E-15, 1.4E-12, 3.0E-14, 1.1E-46; 8.1E-13, 1.9E-46, 1.3E-17, 9.3E-17; 5.2E-17, 9.7E-46, 2.6E-17, 3.1E-13	IPR031692, IPR040990, IPR045063, IPR000261; IPR031692, IPR045063, IPR000261, IPR040990; IPR045063, IPR040990, IPR000261, IPR031692; IPR031692, IPR040990, IPR000261, IPR045063	EH domain-containing protein, N-terminal, Domain of unknown function DUF5600, Dynamin, N-terminal, EH domain; EH domain-containing protein, N-terminal, Dynamin, N-terminal, EH domain, Domain of unknown function DUF5600; Dynamin, N-terminal, Domain of unknown function DUF5600, EH domain, EH domain-containing protein, N-terminal; EH domain-containing protein, N-terminal, Domain of unknown function DUF5600, EH domain, Dynamin, N-terminal
NP_055649.4	NP_055649.4; NP_001006608.2	1700; 1700	Pfam	PF14914, PF13855, PF15779; PF14914, PF13855, PF15779	LRRC37A/B like protein 1 C-terminal domain, Leucine rich repeat, Leucine-rich repeat-containing protein 37 family; LRRC37A/B like protein 1 C-terminal domain, Leucine rich repeat, Leucine-rich repeat-containing protein 37 family	7.8E-71, 2.3E-14, 1.1E-25; 7.8E-71, 2.3E-14, 1.1E-25	IPR029423, IPR001611, IPR032754; IPR029423, IPR001611, IPR032754	LRRC37A/B like protein 1, C-terminal, Leucine-rich repeat, Leucine-rich repeat-containing protein 37, N-terminal; LRRC37A/B like protein 1, C-terminal, Leucine-rich repeat, Leucine-rich repeat-containing protein 37, N-terminal
NP_055779.2	NP_055779.2; NP_060427.2	641; 632	Pfam	PF01417; PF01417, PF02809	ENTH domain; ENTH domain, Ubiquitin interaction motif	3.3E-52; 5.4E-50, 0.0026	IPR013809; IPR013809, IPR003903	ENTH  domain; ENTH  domain, Ubiquitin interacting motif
NP_055878.1	NP_055878.1; XP_016877095.1	921; 927	Pfam	PF01699, PF16494, PF03160; PF01699, PF03160, PF16494	Sodium/calcium exchanger protein, C-terminal extension of sodium/calcium exchanger domain, Calx-beta domain; Sodium/calcium exchanger protein, Calx-beta domain, C-terminal extension of sodium/calcium exchanger domain	1.0E-32, 2.4E-48, 5.5E-32; 1.8E-34, 1.1E-32, 1.4E-55	IPR004837, IPR032452, IPR003644; IPR004837, IPR003644, IPR032452	Sodium/calcium exchanger membrane region, Sodium/calcium exchanger domain, C-terminal extension, Na-Ca exchanger/integrin-beta4; Sodium/calcium exchanger membrane region, Na-Ca exchanger/integrin-beta4, Sodium/calcium exchanger domain, C-terminal extension
NP_056284.1	NP_056284.1; NP_060846.2	247; 247	Pfam	PF07978; PF07978	NIPSNAP; NIPSNAP	7.4E-34; 4.9E-28	IPR012577; IPR012577	NIPSNAP; NIPSNAP
NP_056437.4	NP_932765.1; NP_056437.4	482; 482	Pfam	PF19031, PF19033, PF19032; PF19031, PF19033, PF19032	First Longin domain of INTU, CCZ1 and HPS4, Intu longin-like domain 3, Intu longin-like domain 2; First Longin domain of INTU, CCZ1 and HPS4, Intu longin-like domain 3, Intu longin-like domain 2	6.5E-40, 4.7E-29, 1.6E-32; 6.5E-40, 4.7E-29, 1.6E-32	IPR043987, IPR043989, IPR043988; IPR043987, IPR043989, IPR043988	CCZ1/INTU/HSP4, first Longin domain, CCZ1/INTU/HPS4, third Longin domain, CCZ1/INTU, second Longin domain; CCZ1/INTU/HSP4, first Longin domain, CCZ1/INTU/HPS4, third Longin domain, CCZ1/INTU, second Longin domain
NP_056464.1	NP_056464.1; NP_892017.2	584; 587	Pfam	PF11261, PF00097; PF11261	Interferon regulatory factor 2-binding protein zinc finger, Zinc finger, C3HC4 type (RING finger); Interferon regulatory factor 2-binding protein zinc finger	2.3E-33, 2.2E-4; 7.5E-35	IPR022750, IPR018957; IPR022750	Interferon regulatory factor 2-binding protein 1 & 2, zinc finger, Zinc finger, C3HC4 RING-type; Interferon regulatory factor 2-binding protein 1 & 2, zinc finger
NP_056482.2	NP_056482.2; NP_001076593.1; XP_011516173.1	1347; 1347; 1355	Pfam	PF15371, PF14650; PF14650, PF15371; PF14650, PF15371	Domain of unknown function (DUF4599), FAM75 family; FAM75 family, Domain of unknown function (DUF4599); FAM75 family, Domain of unknown function (DUF4599)	1.4E-21, 1.1E-127; 6.2E-129, 4.1E-21; 1.1E-125, 1.4E-21	IPR027970, IPR039509; IPR039509, IPR027970; IPR039509, IPR027970	Domain of unknown function DUF4599, SPATA31/FAM205; SPATA31/FAM205, Domain of unknown function DUF4599; SPATA31/FAM205, Domain of unknown function DUF4599
NP_056484.2	NP_056484.2; NP_061762.2; NP_061761.1; NP_061758.1; NP_061760.2; NP_061759.1; NP_061754.1; NP_061755.1; NP_061993.3; NP_061757.1; NP_061756.1; NP_061763.1; NP_061992.3; NP_061753.1	795; 794; 795; 787; 796; 798; 797; 795; 801; 798; 798; 793; 797; 800	Pfam	PF08266, PF00028, PF16492; PF16492, PF08266, PF00028; PF16492, PF08266, PF00028; PF16492, PF00028, PF08266; PF08266, PF16492, PF00028; PF16492, PF08266, PF00028; PF00028, PF08266, PF16492; PF08266, PF16492, PF00028; PF00028, PF08266, PF16492; PF08266, PF16492, PF00028; PF16492, PF00028, PF08266; PF08266, PF16492, PF00028; PF00028, PF16492, PF08266; PF16492, PF08266, PF00028	Cadherin-like, Cadherin domain, Cadherin cytoplasmic C-terminal; Cadherin cytoplasmic C-terminal, Cadherin-like, Cadherin domain; Cadherin cytoplasmic C-terminal, Cadherin-like, Cadherin domain; Cadherin cytoplasmic C-terminal, Cadherin domain, Cadherin-like; Cadherin-like, Cadherin cytoplasmic C-terminal, Cadherin domain; Cadherin cytoplasmic C-terminal, Cadherin-like, Cadherin domain; Cadherin domain, Cadherin-like, Cadherin cytoplasmic C-terminal; Cadherin-like, Cadherin cytoplasmic C-terminal, Cadherin domain; Cadherin domain, Cadherin-like, Cadherin cytoplasmic C-terminal; Cadherin-like, Cadherin cytoplasmic C-terminal, Cadherin domain; Cadherin cytoplasmic C-terminal, Cadherin domain, Cadherin-like; Cadherin-like, Cadherin cytoplasmic C-terminal, Cadherin domain; Cadherin domain, Cadherin cytoplasmic C-terminal, Cadherin-like; Cadherin cytoplasmic C-terminal, Cadherin-like, Cadherin domain	2.1E-33, 6.4E-17, 2.8E-26; 1.6E-27, 1.6E-35, 8.8E-18; 1.4E-27, 8.4E-35, 1.4E-15; 7.8E-28, 2.6E-18, 6.0E-36; 3.5E-36, 3.2E-27, 6.2E-16; 3.3E-27, 7.6E-36, 6.8E-18; 2.0E-16, 1.5E-35, 1.2E-27; 2.8E-33, 3.4E-26, 1.8E-17; 7.7E-17, 1.6E-33, 1.5E-24; 1.3E-35, 6.7E-28, 1.3E-16; 9.1E-25, 1.0E-19, 1.5E-33; 6.6E-32, 9.6E-27, 1.6E-20; 1.7E-16, 1.4E-26, 5.3E-34; 2.8E-26, 5.3E-34, 1.9E-15	IPR013164, IPR002126, IPR032455; IPR032455, IPR013164, IPR002126; IPR032455, IPR013164, IPR002126; IPR032455, IPR002126, IPR013164; IPR013164, IPR032455, IPR002126; IPR032455, IPR013164, IPR002126; IPR002126, IPR013164, IPR032455; IPR013164, IPR032455, IPR002126; IPR002126, IPR013164, IPR032455; IPR013164, IPR032455, IPR002126; IPR032455, IPR002126, IPR013164; IPR013164, IPR032455, IPR002126; IPR002126, IPR032455, IPR013164; IPR032455, IPR013164, IPR002126	Cadherin, N-terminal, Cadherin-like, Cadherin, cytoplasmic C-terminal domain; Cadherin, cytoplasmic C-terminal domain, Cadherin, N-terminal, Cadherin-like; Cadherin, cytoplasmic C-terminal domain, Cadherin, N-terminal, Cadherin-like; Cadherin, cytoplasmic C-terminal domain, Cadherin-like, Cadherin, N-terminal; Cadherin, N-terminal, Cadherin, cytoplasmic C-terminal domain, Cadherin-like; Cadherin, cytoplasmic C-terminal domain, Cadherin, N-terminal, Cadherin-like; Cadherin-like, Cadherin, N-terminal, Cadherin, cytoplasmic C-terminal domain; Cadherin, N-terminal, Cadherin, cytoplasmic C-terminal domain, Cadherin-like; Cadherin-like, Cadherin, N-terminal, Cadherin, cytoplasmic C-terminal domain; Cadherin, N-terminal, Cadherin, cytoplasmic C-terminal domain, Cadherin-like; Cadherin, cytoplasmic C-terminal domain, Cadherin-like, Cadherin, N-terminal; Cadherin, N-terminal, Cadherin, cytoplasmic C-terminal domain, Cadherin-like; Cadherin-like, Cadherin, cytoplasmic C-terminal domain, Cadherin, N-terminal; Cadherin, cytoplasmic C-terminal domain, Cadherin, N-terminal, Cadherin-like
NP_056487.1	NP_056487.1; NP_001122105.1; NP_001122107.1	1639; 1639; 1639	Pfam	PF07653; PF07653, PF14604; PF07653, PF14604	Variant SH3 domain; Variant SH3 domain, Variant SH3 domain; Variant SH3 domain, Variant SH3 domain	2.7E-9; 2.4E-6, 2.6E-9; 2.4E-6, 2.6E-9	IPR001452; IPR001452, IPR001452; IPR001452, IPR001452	SH3 domain; SH3 domain, SH3 domain; SH3 domain, SH3 domain
NP_056933.3	NP_056933.3; NP_254275.1	269; 269	Pfam	PF00089; PF00089	Trypsin; Trypsin	1.7E-67; 1.3E-70	IPR001254; IPR001254	Serine proteases, trypsin domain; Serine proteases, trypsin domain
NP_056978.2	NP_056978.2; NP_001186143.1	180; 187	Pfam	PF00836; PF00836	Stathmin family; Stathmin family	2.1E-53; 3.2E-51	IPR000956; IPR000956	Stathmin family; Stathmin family
NP_057017.1	NP_057017.1; NP_001382942.1	64; 64	Pfam	PF09072; PF09072	Translation machinery associated TMA7; Translation machinery associated TMA7	4.8E-29; 5.5E-25	IPR015157; IPR015157	Translation machinery associated TMA7; Translation machinery associated TMA7
NP_057110.3	NP_057110.3; NP_689656.2	318; 316	Pfam	PF00106; PF00106	short chain dehydrogenase; short chain dehydrogenase	5.5E-37; 2.5E-34	IPR002347; IPR002347	Short-chain dehydrogenase/reductase SDR; Short-chain dehydrogenase/reductase SDR
NP_057237.1	NP_057237.1; NP_001157887.1	423; 423	Pfam	PF00447; PF00447	HSF-type DNA-binding; HSF-type DNA-binding	2.2E-19; 2.2E-19	IPR000232; IPR000232	Heat shock factor (HSF)-type, DNA-binding; Heat shock factor (HSF)-type, DNA-binding
NP_057342.2	NP_057342.2; NP_001264742.1	579; 588	Pfam	PF04146; PF04146	YT521-B-like domain; YT521-B-like domain	8.7E-40; 7.2E-23	IPR007275; IPR007275	YTH domain; YTH domain
NP_057419.5	NP_057419.5; NP_001355178.1	600; 600	Pfam	PF01619; PF01619	Proline dehydrogenase; Proline dehydrogenase	6.5E-79; 4.5E-79	IPR002872; IPR002872	Proline dehydrogenase domain; Proline dehydrogenase domain
NP_057454.1	NP_057454.1; NP_001182257.1	201; 201	Pfam	PF00071; PF00071	Ras family; Ras family	1.6E-56; 1.7E-57	IPR001806; IPR001806	Small GTPase; Small GTPase
NP_057661.3	NP_057661.3; NP_942599.1	208; 208	Pfam	PF00071; PF00071	Ras family; Ras family	7.2E-59; 8.5E-59	IPR001806; IPR001806	Small GTPase; Small GTPase
NP_059105.2	NP_059105.2; NP_055028.3	342; 352	Pfam	PF00046; PF04617, PF00046	Homeodomain; Hox9 activation region, Homeodomain	2.8E-20; 1.3E-38, 2.8E-20	IPR001356; IPR006711, IPR001356	Homeobox domain; Hox9, N-terminal activation domain, Homeobox domain
NP_059130.2	NP_059130.2; NP_001350640.1	1551; 1548	Pfam	PF08030, PF00036, PF01794, PF03098, PF08022; PF08022, PF00036, PF03098, PF01794, PF08030	Ferric reductase NAD binding domain, EF hand, Ferric reductase like transmembrane component, Animal haem peroxidase, FAD-binding domain; FAD-binding domain, EF hand, Animal haem peroxidase, Ferric reductase like transmembrane component, Ferric reductase NAD binding domain	5.0E-30, 1.3E-6, 7.8E-18, 2.0E-142, 1.0E-17; 9.7E-18, 3.6E-6, 2.7E-140, 1.2E-18, 1.1E-30	IPR013121, IPR002048, IPR013130, IPR019791, IPR013112; IPR013112, IPR002048, IPR019791, IPR013130, IPR013121	Ferric reductase, NAD binding domain, EF-hand domain, Ferric reductase transmembrane component-like domain, Haem peroxidase, animal-type, FAD-binding 8; FAD-binding 8, EF-hand domain, Haem peroxidase, animal-type, Ferric reductase transmembrane component-like domain, Ferric reductase, NAD binding domain
NP_059974.1	NP_059974.1; NP_001004690.1; NP_001004689.1; NP_001004691.1	311; 312; 312; 312	Pfam	PF13853; PF13853; PF13853; PF13853	Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor	6.0E-48; 6.9E-49; 4.9E-50; 5.8E-48	IPR000725; IPR000725; IPR000725; IPR000725	Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor
NP_059980.2	NP_059980.2; NP_872353.2	235; 227	Pfam	PF01105; PF01105	emp24/gp25L/p24 family/GOLD; emp24/gp25L/p24 family/GOLD	1.1E-54; 1.3E-52	IPR009038; IPR009038	GOLD domain; GOLD domain
NP_059986.1	NP_059986.1; NP_741995.1	217; 213	Pfam	PF00071; PF00071	Ras family; Ras family	3.5E-55; 2.8E-59	IPR001806; IPR001806	Small GTPase; Small GTPase
NP_060058.1	NP_060058.1; NP_061942.2	334; 330	Pfam	PF00400; PF00400	WD domain, G-beta repeat; WD domain, G-beta repeat	5.0E-10; 4.6E-9	IPR001680; IPR001680	WD40 repeat; WD40 repeat
NP_060065.2	NP_060065.2; XP_024309228.1	191; 192	Pfam	PF00071; PF00071	Ras family; Ras family	7.7E-26; 1.3E-27	IPR001806; IPR001806	Small GTPase; Small GTPase
NP_060099.2	NP_060099.2; XP_016856012.1	861; 860	Pfam	PF16487, PF08699, PF02170, PF02171, PF16488, PF16486; PF02171, PF16486, PF08699, PF02170, PF16487, PF16488	Mid domain of argonaute, Argonaute linker 1 domain, PAZ domain, Piwi domain, Argonaute linker 2 domain, N-terminal domain of argonaute; Piwi domain, N-terminal domain of argonaute, Argonaute linker 1 domain, PAZ domain, Mid domain of argonaute, Argonaute linker 2 domain	1.2E-31, 3.5E-22, 7.8E-27, 3.2E-105, 7.2E-14, 3.1E-28; 1.1E-113, 5.0E-24, 3.7E-22, 1.0E-26, 3.7E-31, 2.6E-11	IPR032473, IPR014811, IPR003100, IPR003165, IPR032472, IPR032474; IPR003165, IPR032474, IPR014811, IPR003100, IPR032473, IPR032472	Protein argonaute, Mid domain, Argonaute, linker 1 domain, PAZ domain, Piwi domain, Argonaute linker 2 domain, Protein argonaute, N-terminal; Piwi domain, Protein argonaute, N-terminal, Argonaute, linker 1 domain, PAZ domain, Protein argonaute, Mid domain, Argonaute linker 2 domain
NP_060214.2	NP_060214.2; NP_068708.1	575; 585	Pfam	PF04184; PF04184	ST7 protein; ST7 protein	3.3E-288; 2.4E-297	IPR007311; IPR007311	ST7; ST7
NP_060654.1	NP_060654.1; NP_620150.1	186; 186	Pfam	PF00025; PF00025	ADP-ribosylation factor family; ADP-ribosylation factor family	4.8E-47; 1.5E-46	IPR006689; IPR006689	Small GTPase superfamily, ARF/SAR type; Small GTPase superfamily, ARF/SAR type
NP_060790.2	NP_060790.2; NP_775933.2	327; 328	Pfam	; 	; 	; 	; 	; 
NP_060832.1	NP_060832.1; NP_071448.1	197; 207	Pfam	PF00595, PF02828; PF02828, PF00595	PDZ domain, L27 domain; L27 domain, PDZ domain	8.0E-21, 2.6E-22; 9.5E-17, 7.0E-21	IPR001478, IPR014775; IPR014775, IPR001478	PDZ domain, L27 domain, C-terminal; L27 domain, C-terminal, PDZ domain
NP_060866.2	NP_060866.2; NP_859076.3	378; 378	Pfam	PF13489; PF13489	Methyltransferase domain; Methyltransferase domain	8.9E-18; 9.8E-18	-; -	-; -
NP_060871.1	NP_060871.1; NP_001274669.1	414; 407	Pfam	PF00069; PF00069	Protein kinase domain; Protein kinase domain	7.6E-64; 8.8E-66	IPR000719; IPR000719	Protein kinase domain; Protein kinase domain
NP_060931.2	NP_060931.2; NP_001171062.1; NP_065149.2	453; 457; 447	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_060961.3	NP_060961.3; NP_742000.1; NP_958861.2; NP_001317597.1; NP_001078926.1	395; 395; 395; 395; 395	Pfam	PF07683, PF02492; PF07683, PF02492; PF02492, PF07683; PF02492, PF07683; PF02492, PF07683	Cobalamin synthesis protein cobW C-terminal domain, CobW/HypB/UreG, nucleotide-binding domain; Cobalamin synthesis protein cobW C-terminal domain, CobW/HypB/UreG, nucleotide-binding domain; CobW/HypB/UreG, nucleotide-binding domain, Cobalamin synthesis protein cobW C-terminal domain; CobW/HypB/UreG, nucleotide-binding domain, Cobalamin synthesis protein cobW C-terminal domain; CobW/HypB/UreG, nucleotide-binding domain, Cobalamin synthesis protein cobW C-terminal domain	1.1E-16, 1.7E-49; 1.1E-16, 1.0E-49; 3.1E-48, 9.9E-18; 9.0E-48, 9.9E-18; 3.2E-48, 1.9E-17	IPR011629, IPR003495; IPR011629, IPR003495; IPR003495, IPR011629; IPR003495, IPR011629; IPR003495, IPR011629	Cobalamin (vitamin B12) biosynthesis CobW-like, C-terminal, CobW/HypB/UreG, nucleotide-binding domain; Cobalamin (vitamin B12) biosynthesis CobW-like, C-terminal, CobW/HypB/UreG, nucleotide-binding domain; CobW/HypB/UreG, nucleotide-binding domain, Cobalamin (vitamin B12) biosynthesis CobW-like, C-terminal; CobW/HypB/UreG, nucleotide-binding domain, Cobalamin (vitamin B12) biosynthesis CobW-like, C-terminal; CobW/HypB/UreG, nucleotide-binding domain, Cobalamin (vitamin B12) biosynthesis CobW-like, C-terminal
NP_061122.4	NP_061122.4; NP_001033729.2; NP_001157876.1; NP_001138696.1	693; 693; 693; 693	Pfam	PF15070; PF15070; PF15070; PF15070	Putative golgin subfamily A member 2-like protein 5; Putative golgin subfamily A member 2-like protein 5; Putative golgin subfamily A member 2-like protein 5; Putative golgin subfamily A member 2-like protein 5	3.2E-28; 2.2E-28; 1.9E-28; 1.9E-28	IPR043976; IPR043976; IPR043976; IPR043976	Golgin subfamily A, conserved domain; Golgin subfamily A, conserved domain; Golgin subfamily A, conserved domain; Golgin subfamily A, conserved domain
NP_061131.1	NP_001075020.1; NP_061131.1	67; 67	Pfam	PF00711; PF00711	Beta defensin; Beta defensin	2.7E-11; 2.7E-11	IPR001855; IPR001855	Beta defensin type; Beta defensin type
