NP_000076.2	NP_000076.2; NP_004061.3	687; 687	Pfam	PF00571, PF00654; PF00654, PF00571	CBS domain, Voltage gated chloride channel; Voltage gated chloride channel, CBS domain	2.1E-5, 2.6E-73; 1.4E-74, 9.1E-5	IPR000644, IPR001807; IPR001807, IPR000644	CBS domain, Chloride channel, voltage gated; Chloride channel, voltage gated, CBS domain
NP_005991.1	NP_005991.1; NP_006073.2; NP_006000.2; NP_005992.1; NP_525125.2; NP_997195.2; NP_061816.1	448; 451; 451; 450; 450; 450; 449	Pfam	PF00091, PF03953; PF03953, PF00091; PF03953, PF00091; PF03953, PF00091; PF03953, PF00091; PF03953, PF00091; PF03953, PF00091	Tubulin/FtsZ family, GTPase domain, Tubulin C-terminal domain; Tubulin C-terminal domain, Tubulin/FtsZ family, GTPase domain; Tubulin C-terminal domain, Tubulin/FtsZ family, GTPase domain; Tubulin C-terminal domain, Tubulin/FtsZ family, GTPase domain; Tubulin C-terminal domain, Tubulin/FtsZ family, GTPase domain; Tubulin C-terminal domain, Tubulin/FtsZ family, GTPase domain; Tubulin C-terminal domain, Tubulin/FtsZ family, GTPase domain	1.6E-67, 2.0E-52; 1.6E-52, 4.5E-69; 1.6E-52, 4.5E-69; 1.3E-52, 1.4E-67; 1.3E-52, 1.4E-67; 2.1E-52, 2.8E-67; 4.7E-52, 2.7E-67	IPR003008, IPR018316; IPR018316, IPR003008; IPR018316, IPR003008; IPR018316, IPR003008; IPR018316, IPR003008; IPR018316, IPR003008; IPR018316, IPR003008	Tubulin/FtsZ, GTPase domain, Tubulin/FtsZ, 2-layer sandwich domain; Tubulin/FtsZ, 2-layer sandwich domain, Tubulin/FtsZ, GTPase domain; Tubulin/FtsZ, 2-layer sandwich domain, Tubulin/FtsZ, GTPase domain; Tubulin/FtsZ, 2-layer sandwich domain, Tubulin/FtsZ, GTPase domain; Tubulin/FtsZ, 2-layer sandwich domain, Tubulin/FtsZ, GTPase domain; Tubulin/FtsZ, 2-layer sandwich domain, Tubulin/FtsZ, GTPase domain; Tubulin/FtsZ, 2-layer sandwich domain, Tubulin/FtsZ, GTPase domain
NP_005995.2	NP_005995.2; NP_001083060.1	91; 91	Pfam	PF02320; PF02320	Ubiquinol-cytochrome C reductase hinge protein; Ubiquinol-cytochrome C reductase hinge protein	2.5E-23; 4.3E-19	IPR023184; IPR023184	Ubiquinol-cytochrome C reductase hinge domain; Ubiquinol-cytochrome C reductase hinge domain
NP_006088.2	NP_006088.2; NP_291024.1; NP_001289978.1	172; 172; 177	Pfam	PF13405, PF13833; PF13405, PF08976; PF13405, PF08976	EF-hand domain, EF-hand domain pair; EF-hand domain, EF-hand domain; EF-hand domain, EF-hand domain	5.8E-8, 0.0026; 5.8E-8, 5.8E-5; 6.1E-8, 6.8E-5	IPR002048, IPR002048; IPR002048, IPR015070; IPR002048, IPR015070	EF-hand domain, EF-hand domain; EF-hand domain, DJBP, EF-hand domain; EF-hand domain, DJBP, EF-hand domain
NP_006179.2	NP_006179.2; NP_001091091.1	109; 109	Pfam	PF13499; PF13499	EF-hand domain pair; EF-hand domain pair	1.1E-13; 1.1E-13	IPR002048; IPR002048	EF-hand domain; EF-hand domain
NP_006426.2	NP_006426.2; NP_066362.2	132; 133	Pfam	PF04505; PF04505	Interferon-induced transmembrane protein; Interferon-induced transmembrane protein	3.5E-32; 1.6E-32	IPR007593; IPR007593	CD225/Dispanin family; CD225/Dispanin family
NP_006749.1	NP_001307575.1; NP_006749.1	240; 240	Pfam	PF00642, PF00076; PF00642, PF00076	Zinc finger C-x8-C-x5-C-x3-H type (and similar), RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain); Zinc finger C-x8-C-x5-C-x3-H type (and similar), RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	5.8E-7, 1.7E-6; 5.8E-7, 1.7E-6	IPR000571, IPR000504; IPR000571, IPR000504	Zinc finger, CCCH-type, RNA recognition motif domain; Zinc finger, CCCH-type, RNA recognition motif domain
NP_008831.3	NP_008831.3; NP_076918.1	190; 189	Pfam	PF00143; PF00143	Interferon alpha/beta domain; Interferon alpha/beta domain	5.2E-66; 5.1E-66	IPR000471; IPR000471	Interferon alpha/beta/delta; Interferon alpha/beta/delta
NP_009051.1	NP_009051.1; NP_061951.1; NP_061966.1	534; 534; 534	Pfam	PF00201; PF00201; PF00201	UDP-glucoronosyl and UDP-glucosyl transferase; UDP-glucoronosyl and UDP-glucosyl transferase; UDP-glucoronosyl and UDP-glucosyl transferase	1.1E-246; 6.6E-249; 5.6E-254	IPR002213; IPR002213; IPR002213	UDP-glucuronosyl/UDP-glucosyltransferase; UDP-glucuronosyl/UDP-glucosyltransferase; UDP-glucuronosyl/UDP-glucosyltransferase
NP_009087.1	NP_009087.1; NP_009088.1	799; 803	Pfam	PF00096, PF13912; PF00096	Zinc finger, C2H2 type, C2H2-type zinc finger; Zinc finger, C2H2 type	3.0E-5, 1.7E-4; 3.0E-5	IPR013087, -; IPR013087	Zinc finger C2H2-type, -; Zinc finger C2H2-type
NP_009224.2	NP_009224.2; NP_001338929.1; NP_001002029.3; NP_001229752.1	1744; 1744; 1744; 1744	Pfam	PF00207, PF07677, PF01759, PF17789, PF07678, PF01835, PF07703, PF01821, PF17791; PF07703, PF01835, PF00207, PF07677, PF01759, PF17789, PF01821, PF17791, PF07678; PF01835, PF00207, PF07677, PF01759, PF17789, PF07678, PF01821, PF17791, PF07703; PF07703, PF07677, PF00207, PF17789, PF07678, PF01835, PF01821, PF17791, PF01759	Alpha-2-macroglobulin family, A-macroglobulin receptor binding domain, UNC-6/NTR/C345C module, Macroglobulin domain MG4, A-macroglobulin TED domain, MG2 domain, Alpha-2-macroglobulin bait region domain, Anaphylotoxin-like domain, Macroglobulin domain MG3; Alpha-2-macroglobulin bait region domain, MG2 domain, Alpha-2-macroglobulin family, A-macroglobulin receptor binding domain, UNC-6/NTR/C345C module, Macroglobulin domain MG4, Anaphylotoxin-like domain, Macroglobulin domain MG3, A-macroglobulin TED domain; MG2 domain, Alpha-2-macroglobulin family, A-macroglobulin receptor binding domain, UNC-6/NTR/C345C module, Macroglobulin domain MG4, A-macroglobulin TED domain, Anaphylotoxin-like domain, Macroglobulin domain MG3, Alpha-2-macroglobulin bait region domain; Alpha-2-macroglobulin bait region domain, A-macroglobulin receptor binding domain, Alpha-2-macroglobulin family, Macroglobulin domain MG4, A-macroglobulin TED domain, MG2 domain, Anaphylotoxin-like domain, Macroglobulin domain MG3, UNC-6/NTR/C345C module	1.2E-25, 4.5E-27, 2.2E-20, 2.0E-8, 6.1E-105, 9.2E-16, 8.6E-21, 1.9E-9, 2.1E-17; 8.6E-21, 9.2E-16, 1.2E-25, 4.5E-27, 2.2E-20, 2.0E-8, 1.9E-9, 2.1E-17, 3.8E-105; 9.2E-16, 1.2E-25, 4.5E-27, 2.2E-20, 2.0E-8, 4.5E-105, 1.9E-9, 2.1E-17, 8.6E-21; 8.6E-21, 4.5E-27, 1.2E-25, 2.0E-8, 4.5E-105, 9.2E-16, 1.9E-9, 2.1E-17, 2.2E-20	IPR001599, IPR009048, IPR018933, IPR040839, IPR011626, IPR002890, IPR011625, IPR000020, IPR041555; IPR011625, IPR002890, IPR001599, IPR009048, IPR018933, IPR040839, IPR000020, IPR041555, IPR011626; IPR002890, IPR001599, IPR009048, IPR018933, IPR040839, IPR011626, IPR000020, IPR041555, IPR011625; IPR011625, IPR009048, IPR001599, IPR040839, IPR011626, IPR002890, IPR000020, IPR041555, IPR018933	Alpha-2-macroglobulin, Alpha-macroglobulin, receptor-binding, Netrin module, non-TIMP type, Macroglobulin domain MG4, Alpha-macroglobulin-like, TED domain, Macroglobulin domain, Alpha-2-macroglobulin, bait region domain, Anaphylatoxin/fibulin, Macroglobulin domain MG3; Alpha-2-macroglobulin, bait region domain, Macroglobulin domain, Alpha-2-macroglobulin, Alpha-macroglobulin, receptor-binding, Netrin module, non-TIMP type, Macroglobulin domain MG4, Anaphylatoxin/fibulin, Macroglobulin domain MG3, Alpha-macroglobulin-like, TED domain; Macroglobulin domain, Alpha-2-macroglobulin, Alpha-macroglobulin, receptor-binding, Netrin module, non-TIMP type, Macroglobulin domain MG4, Alpha-macroglobulin-like, TED domain, Anaphylatoxin/fibulin, Macroglobulin domain MG3, Alpha-2-macroglobulin, bait region domain; Alpha-2-macroglobulin, bait region domain, Alpha-macroglobulin, receptor-binding, Alpha-2-macroglobulin, Macroglobulin domain MG4, Alpha-macroglobulin-like, TED domain, Macroglobulin domain, Anaphylatoxin/fibulin, Macroglobulin domain MG3, Netrin module, non-TIMP type
NP_033665.1	NP_033665.1; NP_001354221.1; NP_001035167.2	355; 356; 356	Pfam	PF00337; PF00337; PF00337	Galactoside-binding lectin; Galactoside-binding lectin; Galactoside-binding lectin	2.1E-37; 8.9E-37; 8.9E-37	IPR001079; IPR001079; IPR001079	Galectin, carbohydrate recognition domain; Galectin, carbohydrate recognition domain; Galectin, carbohydrate recognition domain
NP_036283.2	NP_001007525.1; NP_001007524.1; NP_036283.2	371; 371; 371	Pfam	PF14938; PF14938; PF14938	Soluble NSF attachment protein, SNAP; Soluble NSF attachment protein, SNAP; Soluble NSF attachment protein, SNAP	1.0E-5; 1.0E-5; 1.0E-5	-; -; -	-; -; -
NP_036316.1	NP_036316.1; NP_954586.4; NP_001119806.1; NP_954714.2; NP_001078945.1	408; 417; 416; 416; 417	Pfam	PF00250; PF00250; PF00250; PF00250; PF00250	Forkhead domain; Forkhead domain; Forkhead domain; Forkhead domain; Forkhead domain	1.2E-36; 2.3E-36; 2.3E-36; 2.3E-36; 2.3E-36	IPR001766; IPR001766; IPR001766; IPR001766; IPR001766	Fork head domain; Fork head domain; Fork head domain; Fork head domain; Fork head domain
NP_036442.3	NP_036442.3; NP_001092763.1	1232; 1234	Pfam	PF00225; PF00225	Kinesin motor domain; Kinesin motor domain	3.3E-115; 3.0E-115	IPR001752; IPR001752	Kinesin motor domain; Kinesin motor domain
NP_036445.1	NP_036445.1; NP_001347100.1; NP_055328.2; NP_055327.1; NP_036446.3	304; 304; 304; 304; 304	Pfam	PF00047; PF00047; PF00047; PF00047; PF00047	Immunoglobulin domain; Immunoglobulin domain; Immunoglobulin domain; Immunoglobulin domain; Immunoglobulin domain	6.3E-8; 6.3E-8; 1.4E-10; 1.5E-9; 1.7E-8	IPR013151; IPR013151; IPR013151; IPR013151; IPR013151	Immunoglobulin; Immunoglobulin; Immunoglobulin; Immunoglobulin; Immunoglobulin
NP_037445.1	NP_037445.1; XP_016880110.1	119; 119	Pfam	PF03226; PF03226	Yippee zinc-binding/DNA-binding /Mis18, centromere assembly; Yippee zinc-binding/DNA-binding /Mis18, centromere assembly	6.6E-13; 1.3E-12	IPR004910; IPR004910	Yippee/Mis18/Cereblon; Yippee/Mis18/Cereblon
NP_037468.1	NP_037468.1; NP_060614.2	476; 476	Pfam	PF00344, PF10559; PF10559, PF00344	SecY translocase, Plug domain of Sec61p; Plug domain of Sec61p, SecY translocase	4.7E-77, 8.7E-18; 8.7E-18, 1.5E-77	IPR002208, IPR019561; IPR019561, IPR002208	SecY/SEC61-alpha family, Translocon Sec61/SecY, plug domain; Translocon Sec61/SecY, plug domain, SecY/SEC61-alpha family
NP_038481.2	NP_663695.1; NP_038481.2; NP_115793.1; NP_073152.2	97; 97; 97; 97	Pfam	PF07458; PF07458; PF07458; PF07458	Sperm protein associated with nucleus, mapped to X chromosome; Sperm protein associated with nucleus, mapped to X chromosome; Sperm protein associated with nucleus, mapped to X chromosome; Sperm protein associated with nucleus, mapped to X chromosome	2.6E-47; 2.6E-47; 5.3E-45; 9.7E-46	IPR010007; IPR010007; IPR010007; IPR010007	SPAN-X family; SPAN-X family; SPAN-X family; SPAN-X family
NP_039228.1	NP_039228.1; NP_001004466.1	318; 315	Pfam	PF13853; PF13853	Olfactory receptor; Olfactory receptor	3.1E-51; 4.9E-52	IPR000725; IPR000725	Olfactory receptor; Olfactory receptor
NP_055033.2	NP_055033.2; NP_001355180.1; NP_055034.2; NP_056952.2	348; 348; 348; 341	Pfam	PF00047; PF00047; PF00047; PF00047	Immunoglobulin domain; Immunoglobulin domain; Immunoglobulin domain; Immunoglobulin domain	4.5E-9; 1.9E-9; 2.2E-8; 5.2E-9	IPR013151; IPR013151; IPR013151; IPR013151	Immunoglobulin; Immunoglobulin; Immunoglobulin; Immunoglobulin
NP_055039.1	NP_055039.1; NP_001073276.1; NP_001073275.1	388; 388; 388	Pfam	PF07966, PF00026; PF07966, PF00026; PF07966, PF00026	A1 Propeptide, Eukaryotic aspartyl protease; A1 Propeptide, Eukaryotic aspartyl protease; A1 Propeptide, Eukaryotic aspartyl protease	5.3E-11, 4.8E-126; 5.3E-11, 1.1E-125; 5.3E-11, 1.1E-125	IPR012848, IPR033121; IPR012848, IPR033121; IPR012848, IPR033121	Aspartic peptidase, N-terminal, Peptidase family A1 domain; Aspartic peptidase, N-terminal, Peptidase family A1 domain; Aspartic peptidase, N-terminal, Peptidase family A1 domain
NP_055172.1	NP_055172.1; NP_848516.1; NP_848517.1	110; 110; 110	Pfam	PF14672; PF14672; PF14672	Late cornified envelope; Late cornified envelope; Late cornified envelope	1.4E-21; 2.6E-21; 5.8E-22	IPR028205; IPR028205; IPR028205	Late cornified envelope protein; Late cornified envelope protein; Late cornified envelope protein
NP_055649.4	NP_055649.4; NP_001006608.2	1700; 1700	Pfam	PF14914, PF13855, PF15779; PF14914, PF13855, PF15779	LRRC37A/B like protein 1 C-terminal domain, Leucine rich repeat, Leucine-rich repeat-containing protein 37 family; LRRC37A/B like protein 1 C-terminal domain, Leucine rich repeat, Leucine-rich repeat-containing protein 37 family	7.8E-71, 2.3E-14, 1.1E-25; 7.8E-71, 2.3E-14, 1.1E-25	IPR029423, IPR001611, IPR032754; IPR029423, IPR001611, IPR032754	LRRC37A/B like protein 1, C-terminal, Leucine-rich repeat, Leucine-rich repeat-containing protein 37, N-terminal; LRRC37A/B like protein 1, C-terminal, Leucine-rich repeat, Leucine-rich repeat-containing protein 37, N-terminal
NP_056437.4	NP_932765.1; NP_056437.4	482; 482	Pfam	PF19031, PF19033, PF19032; PF19031, PF19033, PF19032	First Longin domain of INTU, CCZ1 and HPS4, Intu longin-like domain 3, Intu longin-like domain 2; First Longin domain of INTU, CCZ1 and HPS4, Intu longin-like domain 3, Intu longin-like domain 2	6.5E-40, 4.7E-29, 1.6E-32; 6.5E-40, 4.7E-29, 1.6E-32	IPR043987, IPR043989, IPR043988; IPR043987, IPR043989, IPR043988	CCZ1/INTU/HSP4, first Longin domain, CCZ1/INTU/HPS4, third Longin domain, CCZ1/INTU, second Longin domain; CCZ1/INTU/HSP4, first Longin domain, CCZ1/INTU/HPS4, third Longin domain, CCZ1/INTU, second Longin domain
NP_056482.2	NP_056482.2; NP_001076593.1; XP_011516173.1	1347; 1347; 1355	Pfam	PF15371, PF14650; PF14650, PF15371; PF14650, PF15371	Domain of unknown function (DUF4599), FAM75 family; FAM75 family, Domain of unknown function (DUF4599); FAM75 family, Domain of unknown function (DUF4599)	1.4E-21, 1.1E-127; 6.2E-129, 4.1E-21; 1.1E-125, 1.4E-21	IPR027970, IPR039509; IPR039509, IPR027970; IPR039509, IPR027970	Domain of unknown function DUF4599, SPATA31/FAM205; SPATA31/FAM205, Domain of unknown function DUF4599; SPATA31/FAM205, Domain of unknown function DUF4599
NP_056487.1	NP_056487.1; NP_001122105.1; NP_001122107.1	1639; 1639; 1639	Pfam	PF07653; PF07653, PF14604; PF07653, PF14604	Variant SH3 domain; Variant SH3 domain, Variant SH3 domain; Variant SH3 domain, Variant SH3 domain	2.7E-9; 2.4E-6, 2.6E-9; 2.4E-6, 2.6E-9	IPR001452; IPR001452, IPR001452; IPR001452, IPR001452	SH3 domain; SH3 domain, SH3 domain; SH3 domain, SH3 domain
NP_057237.1	NP_057237.1; NP_001157887.1	423; 423	Pfam	PF00447; PF00447	HSF-type DNA-binding; HSF-type DNA-binding	2.2E-19; 2.2E-19	IPR000232; IPR000232	Heat shock factor (HSF)-type, DNA-binding; Heat shock factor (HSF)-type, DNA-binding
NP_057419.5	NP_057419.5; NP_001355178.1	600; 600	Pfam	PF01619; PF01619	Proline dehydrogenase; Proline dehydrogenase	6.5E-79; 4.5E-79	IPR002872; IPR002872	Proline dehydrogenase domain; Proline dehydrogenase domain
NP_057661.3	NP_057661.3; NP_942599.1	208; 208	Pfam	PF00071; PF00071	Ras family; Ras family	7.2E-59; 8.5E-59	IPR001806; IPR001806	Small GTPase; Small GTPase
NP_060629.2	NP_060629.2; NP_694853.1	164; 164	Pfam	PF00293; PF00293	NUDIX domain; NUDIX domain	3.3E-19; 2.9E-19	IPR000086; IPR000086	NUDIX hydrolase domain; NUDIX hydrolase domain
NP_060654.1	NP_060654.1; NP_620150.1	186; 186	Pfam	PF00025; PF00025	ADP-ribosylation factor family; ADP-ribosylation factor family	4.8E-47; 1.5E-46	IPR006689; IPR006689	Small GTPase superfamily, ARF/SAR type; Small GTPase superfamily, ARF/SAR type
NP_060802.1	NP_060802.1; NP_001350867.1	478; 484	Pfam	PF00271, PF00270; PF00271, PF00270	Helicase conserved C-terminal domain, DEAD/DEAH box helicase; Helicase conserved C-terminal domain, DEAD/DEAH box helicase	2.3E-26, 1.3E-28; 2.3E-26, 7.2E-29	IPR001650, IPR011545; IPR001650, IPR011545	Helicase, C-terminal, DEAD/DEAH box helicase domain; Helicase, C-terminal, DEAD/DEAH box helicase domain
NP_060866.2	NP_060866.2; NP_859076.3	378; 378	Pfam	PF13489; PF13489	Methyltransferase domain; Methyltransferase domain	8.9E-18; 9.8E-18	-; -	-; -
NP_060961.3	NP_060961.3; NP_742000.1; NP_958861.2; NP_001317597.1; NP_001078926.1	395; 395; 395; 395; 395	Pfam	PF07683, PF02492; PF07683, PF02492; PF02492, PF07683; PF02492, PF07683; PF02492, PF07683	Cobalamin synthesis protein cobW C-terminal domain, CobW/HypB/UreG, nucleotide-binding domain; Cobalamin synthesis protein cobW C-terminal domain, CobW/HypB/UreG, nucleotide-binding domain; CobW/HypB/UreG, nucleotide-binding domain, Cobalamin synthesis protein cobW C-terminal domain; CobW/HypB/UreG, nucleotide-binding domain, Cobalamin synthesis protein cobW C-terminal domain; CobW/HypB/UreG, nucleotide-binding domain, Cobalamin synthesis protein cobW C-terminal domain	1.1E-16, 1.7E-49; 1.1E-16, 1.0E-49; 3.1E-48, 9.9E-18; 9.0E-48, 9.9E-18; 3.2E-48, 1.9E-17	IPR011629, IPR003495; IPR011629, IPR003495; IPR003495, IPR011629; IPR003495, IPR011629; IPR003495, IPR011629	Cobalamin (vitamin B12) biosynthesis CobW-like, C-terminal, CobW/HypB/UreG, nucleotide-binding domain; Cobalamin (vitamin B12) biosynthesis CobW-like, C-terminal, CobW/HypB/UreG, nucleotide-binding domain; CobW/HypB/UreG, nucleotide-binding domain, Cobalamin (vitamin B12) biosynthesis CobW-like, C-terminal; CobW/HypB/UreG, nucleotide-binding domain, Cobalamin (vitamin B12) biosynthesis CobW-like, C-terminal; CobW/HypB/UreG, nucleotide-binding domain, Cobalamin (vitamin B12) biosynthesis CobW-like, C-terminal
NP_061122.4	NP_061122.4; NP_001033729.2; NP_001157876.1; NP_001138696.1	693; 693; 693; 693	Pfam	PF15070; PF15070; PF15070; PF15070	Putative golgin subfamily A member 2-like protein 5; Putative golgin subfamily A member 2-like protein 5; Putative golgin subfamily A member 2-like protein 5; Putative golgin subfamily A member 2-like protein 5	3.2E-28; 2.2E-28; 1.9E-28; 1.9E-28	IPR043976; IPR043976; IPR043976; IPR043976	Golgin subfamily A, conserved domain; Golgin subfamily A, conserved domain; Golgin subfamily A, conserved domain; Golgin subfamily A, conserved domain
NP_061131.1	NP_001075020.1; NP_061131.1	67; 67	Pfam	PF00711; PF00711	Beta defensin; Beta defensin	2.7E-11; 2.7E-11	IPR001855; IPR001855	Beta defensin type; Beta defensin type
NP_061732.1	NP_061732.1; NP_061734.1	950; 950	Pfam	PF15974, PF00028, PF08266; PF08266, PF00028, PF15974	Cadherin C-terminal cytoplasmic tail, catenin-binding region, Cadherin domain, Cadherin-like; Cadherin-like, Cadherin domain, Cadherin C-terminal cytoplasmic tail, catenin-binding region	3.8E-67, 2.5E-19, 2.3E-29; 2.1E-28, 1.7E-19, 3.8E-67	IPR031904, IPR002126, IPR013164; IPR013164, IPR002126, IPR031904	Cadherin, C-terminal catenin-binding domain, Cadherin-like, Cadherin, N-terminal; Cadherin, N-terminal, Cadherin-like, Cadherin, C-terminal catenin-binding domain
NP_061756.1	NP_061756.1; NP_061993.3	798; 801	Pfam	PF16492, PF00028, PF08266; PF00028, PF08266, PF16492	Cadherin cytoplasmic C-terminal, Cadherin domain, Cadherin-like; Cadherin domain, Cadherin-like, Cadherin cytoplasmic C-terminal	9.1E-25, 1.0E-19, 1.5E-33; 7.7E-17, 1.6E-33, 1.5E-24	IPR032455, IPR002126, IPR013164; IPR002126, IPR013164, IPR032455	Cadherin, cytoplasmic C-terminal domain, Cadherin-like, Cadherin, N-terminal; Cadherin-like, Cadherin, N-terminal, Cadherin, cytoplasmic C-terminal domain
NP_061948.1	NP_061948.1; NP_061949.3; NP_061950.2; NP_066307.1	530; 530; 530; 530	Pfam	PF00201; PF00201; PF00201; PF00201	UDP-glucoronosyl and UDP-glucosyl transferase; UDP-glucoronosyl and UDP-glucosyl transferase; UDP-glucoronosyl and UDP-glucosyl transferase; UDP-glucoronosyl and UDP-glucosyl transferase	1.9E-242; 3.5E-245; 1.7E-240; 9.7E-247	IPR002213; IPR002213; IPR002213; IPR002213	UDP-glucuronosyl/UDP-glucosyltransferase; UDP-glucuronosyl/UDP-glucosyltransferase; UDP-glucuronosyl/UDP-glucosyltransferase; UDP-glucuronosyl/UDP-glucosyltransferase
NP_065091.1	NP_065091.1; NP_001182163.1; NP_001193555.1	452; 452; 452	Pfam	PF00643, PF00622, PF15227; PF00622, PF00643, PF15227; PF00643, PF00622, PF15227	B-box zinc finger, SPRY domain, zinc finger of C3HC4-type, RING; SPRY domain, B-box zinc finger, zinc finger of C3HC4-type, RING; B-box zinc finger, SPRY domain, zinc finger of C3HC4-type, RING	1.4E-6, 3.3E-7, 9.9E-9; 1.4E-7, 1.4E-6, 9.9E-9; 4.0E-6, 8.2E-8, 3.3E-10	IPR000315, IPR003877, -; IPR003877, IPR000315, -; IPR000315, IPR003877, -	B-box-type zinc finger, SPRY domain, -; SPRY domain, B-box-type zinc finger, -; B-box-type zinc finger, SPRY domain, -
NP_065396.1	NP_065396.1; NP_001018091.1	375; 375	Pfam	PF00047; PF00047	Immunoglobulin domain; Immunoglobulin domain	8.7E-10; 8.7E-10	IPR013151; IPR013151	Immunoglobulin; Immunoglobulin
NP_066306.2	NP_066306.2; NP_001092005.1	317; 317	Pfam	PF15227, PF13765, PF11002, PF00622; PF11002, PF13765, PF15227, PF00622	zinc finger of C3HC4-type, RING, SPRY-associated domain, RFPL defining motif (RDM), SPRY domain; RFPL defining motif (RDM), SPRY-associated domain, zinc finger of C3HC4-type, RING, SPRY domain	6.9E-16, 4.0E-14, 6.2E-22, 8.8E-18; 3.4E-22, 1.4E-14, 2.7E-16, 2.5E-17	-, IPR006574, IPR022723, IPR003877; IPR022723, IPR006574, -, IPR003877	-, SPRY-associated, RDM domain, Ret finger protein-like, SPRY domain; RDM domain, Ret finger protein-like, SPRY-associated, -, SPRY domain
NP_068802.1	NP_075267.1; NP_068802.1	110; 110	Pfam	PF04419; PF04419	4F5 protein related disordered region; 4F5 protein related disordered region	3.0E-11; 3.0E-11	IPR007513; IPR007513	Uncharacterised protein family SERF, N-terminal; Uncharacterised protein family SERF, N-terminal
NP_068832.1	NP_001382859.1; NP_068832.1	45; 45	Pfam	PF01290; PF01290	Thymosin beta-4 family; Thymosin beta-4 family	6.3E-20; 6.3E-20	IPR001152; IPR001152	Beta-thymosin; Beta-thymosin
NP_071336.1	NP_001093156.1; NP_071336.1	626; 626	Pfam	PF02136, PF09162, PF03943; PF02136, PF09162, PF03943	Nuclear transport factor 2 (NTF2) domain, Tap, RNA-binding, TAP C-terminal domain; Nuclear transport factor 2 (NTF2) domain, Tap, RNA-binding, TAP C-terminal domain	1.1E-18, 1.0E-38, 1.0E-24; 1.1E-18, 1.0E-38, 1.0E-24	IPR002075, IPR015245, IPR005637; IPR002075, IPR015245, IPR005637	Nuclear transport factor 2, Nuclear RNA export factor Tap, RNA-binding domain, TAP C-terminal (TAP-C) domain; Nuclear transport factor 2, Nuclear RNA export factor Tap, RNA-binding domain, TAP C-terminal (TAP-C) domain
NP_073729.1	NP_073729.1; NP_001078950.1	125; 125	Pfam	PF02991; PF02991	Autophagy protein Atg8 ubiquitin like; Autophagy protein Atg8 ubiquitin like	9.9E-44; 3.1E-42	IPR004241; IPR004241	Autophagy protein Atg8 ubiquitin-like; Autophagy protein Atg8 ubiquitin-like
NP_075389.2	NP_075389.2; NP_001019832.2; NP_001278309.1; NP_075390.1	474; 474; 474; 474	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 	; ; ; 
NP_076949.1	NP_001014999.1; NP_076949.1	275; 275	Pfam	PF01541; PF01541	GIY-YIG catalytic domain; GIY-YIG catalytic domain	4.5E-12; 4.5E-12	IPR000305; IPR000305	GIY-YIG endonuclease; GIY-YIG endonuclease
NP_079141.2	NP_079141.2; NP_001342210.1	305; 305	Pfam	PF00046; PF00046	Homeodomain; Homeodomain	1.3E-18; 1.3E-18	IPR001356; IPR001356	Homeobox domain; Homeobox domain
NP_079493.1	NP_079493.1; NP_570970.2	246; 246	Pfam	PF00129; PF00129	Class I Histocompatibility antigen, domains alpha 1 and 2; Class I Histocompatibility antigen, domains alpha 1 and 2	3.3E-19; 1.0E-17	IPR011161; IPR011161	MHC class I-like antigen recognition-like; MHC class I-like antigen recognition-like
NP_112167.2	NP_112167.2; NP_001335223.1	312; 312	Pfam	PF13853; PF13853	Olfactory receptor; Olfactory receptor	4.8E-45; 7.1E-47	IPR000725; IPR000725	Olfactory receptor; Olfactory receptor
NP_112170.1	NP_112170.1; XP_024308428.1; NP_001005328.1	310; 310; 310	Pfam	PF13853; PF13853; PF13853	Olfactory receptor; Olfactory receptor; Olfactory receptor	6.0E-52; 9.5E-53; 9.5E-53	IPR000725; IPR000725; IPR000725	Olfactory receptor; Olfactory receptor; Olfactory receptor
NP_113640.1	NP_113640.1; NP_001382928.1	118; 118	Pfam	PF15320; PF15320	mRNA cap methylation, RNMT-activating mini protein; mRNA cap methylation, RNMT-activating mini protein	2.1E-25; 2.4E-25	IPR028271; IPR028271	RNA guanine-N7 methyltransferase activating subunit; RNA guanine-N7 methyltransferase activating subunit
NP_114165.1	NP_114165.1; NP_149441.1	98; 98	Pfam	PF04579; PF04579	Keratin, high-sulphur matrix protein; Keratin, high-sulphur matrix protein	1.7E-43; 9.5E-44	IPR007659; IPR007659	Keratin, high-sulphur matrix protein; Keratin, high-sulphur matrix protein
NP_114167.2	NP_114167.2; NP_001305156.1; NP_001264261.1; XP_003846529.1	174; 174; 169; 174	Pfam	PF13885; PF13885; PF13885; PF13885	Keratin, high sulfur B2 protein; Keratin, high sulfur B2 protein; Keratin, high sulfur B2 protein; Keratin, high sulfur B2 protein	3.8E-9; 2.9E-9; 3.0E-9; 2.2E-9	IPR002494; IPR002494; IPR002494; IPR002494	Keratin-associated protein; Keratin-associated protein; Keratin-associated protein; Keratin-associated protein
NP_114168.1	NP_114168.1; NP_114169.2	159; 159	Pfam	PF13885; PF13885	Keratin, high sulfur B2 protein; Keratin, high sulfur B2 protein	7.0E-10; 1.1E-9	IPR002494; IPR002494	Keratin-associated protein; Keratin-associated protein
